# energy	fit	voigt_0	voigt_1	g_type_edge
8.98641509e+03 2.88408760e-02 1.70999607e-02 5.08925107e-03 6.65166416e-03
8.98679245e+03 3.26148701e-02 1.85488246e-02 5.35380416e-03 8.71224131e-03
8.98716981e+03 3.48463983e-02 1.79480710e-02 5.63862033e-03 1.12597070e-02
8.98754717e+03 3.59578150e-02 1.56511097e-02 5.94571375e-03 1.43609916e-02
8.98792453e+03 3.71043299e-02 1.27481769e-02 6.27733823e-03 1.80788148e-02
8.98830189e+03 3.91676433e-02 1.00639704e-02 6.63601902e-03 2.24676539e-02
8.98867925e+03 4.24892969e-02 7.89524267e-03 7.02458870e-03 2.75694655e-02
8.98905660e+03 4.70930197e-02 6.23732428e-03 7.44622784e-03 3.34094676e-02
8.98943396e+03 5.28877623e-02 4.99091202e-03 7.90451049e-03 3.99923397e-02
8.98981132e+03 5.97549338e-02 4.05226414e-03 8.40345497e-03 4.72992147e-02
8.99018868e+03 6.75716265e-02 3.33823522e-03 8.94757983e-03 5.52858114e-02
8.99056604e+03 7.62116821e-02 2.78772258e-03 9.54196462e-03 6.38819949e-02
8.99094340e+03 8.55423863e-02 2.35713164e-03 1.01923146e-02 7.29929401e-02
8.99132075e+03 9.54225088e-02 2.01553758e-03 1.09050271e-02 8.25019441e-02
8.99169811e+03 1.05702923e-01 1.74088927e-03 1.16872570e-02 9.22747766e-02
8.99207547e+03 1.16229586e-01 1.51730099e-03 1.25469742e-02 1.02165310e-01
8.99245283e+03 1.26848231e-01 1.33318513e-03 1.34930060e-02 1.12022040e-01
8.99283019e+03 1.37410035e-01 1.17997700e-03 1.45350498e-02 1.21695008e-01
8.99320755e+03 1.47777517e-01 1.05126235e-03 1.56836366e-02 1.31042618e-01
8.99358491e+03 1.57829999e-01 9.42175888e-04 1.69500157e-02 1.39937807e-01
8.99396226e+03 1.67468055e-01 8.48982217e-04 1.83459196e-02 1.48273153e-01
8.99433962e+03 1.76616496e-01 7.68780491e-04 1.98831523e-02 1.55964563e-01
8.99471698e+03 1.85225571e-01 6.99293719e-04 2.15729236e-02 1.62953354e-01
8.99509434e+03 1.93270245e-01 6.38716619e-04 2.34248349e-02 1.69206694e-01
8.99547170e+03 2.00747499e-01 5.85604469e-04 2.54454014e-02 1.74716494e-01
8.99584906e+03 2.07671781e-01 5.38790969e-04 2.76359949e-02 1.79496995e-01
8.99622642e+03 2.14068806e-01 4.97326898e-04 2.99901159e-02 1.83581363e-01
8.99660377e+03 2.19968080e-01 4.60433813e-04 3.24899906e-02 1.87017656e-01
8.99698113e+03 2.25394671e-01 4.27468770e-04 3.51026651e-02 1.89864537e-01
8.99735849e+03 2.30361038e-01 3.97897200e-04 3.77760692e-02 1.92187071e-01
8.99773585e+03 2.34860108e-01 3.71271853e-04 4.04359476e-02 1.94052888e-01
8.99811321e+03 2.38861133e-01 3.47216343e-04 4.29850177e-02 1.95528899e-01
8.99849057e+03 2.42310111e-01 3.25412173e-04 4.53059956e-02 1.96678703e-01
8.99886792e+03 2.45136196e-01 3.05588427e-04 4.72698971e-02 1.97560710e-01
8.99924528e+03 2.47264384e-01 2.87513538e-04 4.87499152e-02 1.98226955e-01
8.99962264e+03 2.48632731e-01 2.70988656e-04 4.96392113e-02 1.98722531e-01
9.00000000e+03 2.49210119e-01 2.55842282e-04 4.98687523e-02 1.99085525e-01
9.00037736e+03 2.49009388e-01 2.41925894e-04 4.94201171e-02 1.99347345e-01
9.00075472e+03 2.48091493e-01 2.29110364e-04 4.83290775e-02 1.99533305e-01
9.00113208e+03 2.46559357e-01 2.17283010e-04 4.66787072e-02 1.99663367e-01
9.00150943e+03 2.44543678e-01 2.06345154e-04 4.45843886e-02 1.99752944e-01
9.00188679e+03 2.42185362e-01 1.96210092e-04 4.21754574e-02 1.99813695e-01
9.00226415e+03 2.39619428e-01 1.86801398e-04 3.95783592e-02 1.99854267e-01
9.00264151e+03 2.36963511e-01 1.78051499e-04 3.69045107e-02 1.99880949e-01
9.00301887e+03 2.34311948e-01 1.69900478e-04 3.42438206e-02 1.99898227e-01
9.00339623e+03 2.31734642e-01 1.62295058e-04 3.16631005e-02 1.99909246e-01
9.00377358e+03 2.29279158e-01 1.55187741e-04 2.92078051e-02 1.99916165e-01
9.00415094e+03 2.26974490e-01 1.48536076e-04 2.69055100e-02 1.99920444e-01
9.00452830e+03 2.24835265e-01 1.42302024e-04 2.47699139e-02 1.99923049e-01
9.00490566e+03 2.22865679e-01 1.36451430e-04 2.28046161e-02 1.99924611e-01
9.00528302e+03 2.21062794e-01 1.30953548e-04 2.10063073e-02 1.99925533e-01
9.00566038e+03 2.19419124e-01 1.25780650e-04 1.93672740e-02 1.99926070e-01
9.00603774e+03 2.17924539e-01 1.20907670e-04 1.78772546e-02 1.99926377e-01
9.00641509e+03 2.16567616e-01 1.16311912e-04 1.65247540e-02 1.99926550e-01
9.00679245e+03 2.15336551e-01 1.11972781e-04 1.52979325e-02 1.99926646e-01
9.00716981e+03 2.14219749e-01 1.07871555e-04 1.41851794e-02 1.99926698e-01
9.00754717e+03 2.13206178e-01 1.03991187e-04 1.31754599e-02 1.99926727e-01
9.00792453e+03 2.12285564e-01 1.00316127e-04 1.22585059e-02 1.99926742e-01
9.00830189e+03 2.11448483e-01 9.68321666e-05 1.14249016e-02 1.99926750e-01
9.00867925e+03 2.10686381e-01 9.35263047e-05 1.06661016e-02 1.99926754e-01
9.00905660e+03 2.09991549e-01 9.03866251e-05 9.97440647e-03 1.99926756e-01
9.00943396e+03 2.09357073e-01 8.74021900e-05 9.34291450e-03 1.99926757e-01
9.00981132e+03 2.08776781e-01 8.45629460e-05 8.76546055e-03 1.99926757e-01
9.01018868e+03 2.08245167e-01 8.18596389e-05 8.23655002e-03 1.99926757e-01
9.01056604e+03 2.07757334e-01 7.92837396e-05 7.75129263e-03 1.99926757e-01
9.01094340e+03 2.07308924e-01 7.68273764e-05 7.30533889e-03 1.99926758e-01
9.01132075e+03 2.06896062e-01 7.44832756e-05 6.89482077e-03 1.99926758e-01
9.01169811e+03 2.06515300e-01 7.22447078e-05 6.51629743e-03 1.99926758e-01
9.01207547e+03 2.06163569e-01 7.01054395e-05 6.16670617e-03 1.99926758e-01
9.01245283e+03 2.05838136e-01 6.80596905e-05 5.84331851e-03 1.99926758e-01
9.01283019e+03 2.05536561e-01 6.61020944e-05 5.54370118e-03 1.99926758e-01
9.01320755e+03 2.05256667e-01 6.42276640e-05 5.26568154e-03 1.99926758e-01
9.01358491e+03 2.04996506e-01 6.24317594e-05 5.00731715e-03 1.99926758e-01
9.01396226e+03 2.04754337e-01 6.07100595e-05 4.76686894e-03 1.99926758e-01
9.01433962e+03 2.04528594e-01 5.90585360e-05 4.54277764e-03 1.99926758e-01
