# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
1.80000000e-01 1.84999477e-02 -6.63939653e-07 -1.36019479e-03 -9.17203297e-05
2.00000000e-01 2.50780627e-02 -2.46602915e-06 -1.58510281e-03 2.30771563e-04
2.20000000e-01 2.70639028e-02 -7.28994836e-06 -1.52706486e-03 7.36142865e-04
2.40000000e-01 2.42898263e-02 -1.69875650e-05 -1.20697131e-03 1.30199555e-03
2.60000000e-01 1.74183864e-02 -3.05031558e-05 -6.90264154e-04 1.75969830e-03
2.80000000e-01 7.79584590e-03 -3.96165709e-05 -7.39036314e-05 1.96752386e-03
3.00000000e-01 -2.80702065e-03 -2.84981625e-05 5.31620318e-04 1.85633790e-03
3.20000000e-01 -1.25176577e-02 1.82690667e-05 1.02192853e-03 1.43764489e-03
3.40000000e-01 -1.96897024e-02 1.02946944e-04 1.31658270e-03 7.88624913e-04
3.60000000e-01 -2.31792409e-02 2.08340462e-04 1.37208862e-03 2.84947748e-05
3.80000000e-01 -2.25235185e-02 3.04260035e-04 1.18800737e-03 -7.07348961e-04
4.00000000e-01 -1.79949156e-02 3.61169405e-04 8.05380794e-04 -1.29255876e-03
4.20000000e-01 -1.05256287e-02 3.61057831e-04 2.98038633e-04 -1.63163919e-03
4.40000000e-01 -1.52104827e-03 3.01139101e-04 -2.41435661e-04 -1.67534331e-03
4.60000000e-01 7.40160301e-03 1.92140259e-04 -7.18446664e-04 -1.42743009e-03
4.80000000e-01 1.47012737e-02 5.42295163e-05 -1.05283520e-03 -9.41982873e-04
5.00000000e-01 1.91768646e-02 -8.77514971e-05 -1.19219763e-03 -3.12120506e-04
5.20000000e-01 2.01620650e-02 -2.09099398e-04 -1.11989116e-03 3.47614554e-04
5.40000000e-01 1.76201674e-02 -2.89607652e-04 -8.56543242e-04 9.21900655e-04
5.60000000e-01 1.21262860e-02 -3.16909050e-04 -4.55053094e-04 1.31462487e-03
5.80000000e-01 4.74437214e-03 -2.88318284e-04 9.80035176e-06 1.46478040e-03
6.00000000e-01 -3.17565559e-03 -2.10925885e-04 4.55138704e-04 1.35567896e-03
6.20000000e-01 -1.02424962e-02 -9.99963988e-05 8.04637875e-04 1.01614008e-03
6.40000000e-01 -1.52658371e-02 2.39866830e-05 1.00148581e-03 5.13759054e-04
6.60000000e-01 -1.74546499e-02 1.39065944e-04 1.01746666e-03 -5.82777750e-05
6.80000000e-01 -1.65387840e-02 2.25666583e-04 8.56747823e-04 -5.98301192e-04
7.00000000e-01 -1.27957531e-02 2.69892781e-04 5.53917314e-04 -1.01407960e-03
7.20000000e-01 -6.98171457e-03 2.65714885e-04 1.66831771e-04 -1.23841924e-03
7.40000000e-01 -1.82257494e-04 2.15711388e-04 -2.34288424e-04 -1.23983328e-03
7.60000000e-01 6.38810154e-03 1.30292721e-04 -5.79485721e-04 -1.02662228e-03
7.80000000e-01 1.16010501e-02 2.55993526e-05 -8.11162471e-04 -6.43912578e-04
8.00000000e-01 1.46064461e-02 -7.95111882e-05 -8.93575237e-04 -1.64434848e-04
8.20000000e-01 1.49687840e-02 -1.66832033e-04 -8.18182980e-04 3.25121089e-04
8.40000000e-01 1.27266711e-02 -2.21932987e-04 -6.04082468e-04 7.39644274e-04
8.60000000e-01 8.36797210e-03 -2.36513116e-04 -2.93643883e-04 1.01027176e-03
8.80000000e-01 2.72815614e-03 -2.09602385e-04 5.57140689e-05 1.09568347e-03
9.00000000e-01 -3.16761779e-03 -1.47448529e-04 3.82038138e-04 9.88197499e-04
9.20000000e-01 -8.28919045e-03 -6.21591169e-05 6.29736237e-04 7.13810066e-04
9.40000000e-01 -1.17798777e-02 3.06184592e-05 7.58954610e-04 3.26405585e-04
9.60000000e-01 -1.30980824e-02 1.14540676e-04 7.51871803e-04 -1.02637848e-04
9.80000000e-01 -1.20989471e-02 1.75423047e-04 6.14938361e-04 -4.97472022e-04
1.00000000e+00 -9.04421583e-03 2.03612183e-04 3.76830073e-04 -7.91076583e-04
1.20000000e+00 -2.95054510e-03 -1.02234515e-04 3.15725010e-04 7.17412279e-04
1.40000000e+00 8.37906049e-03 -5.93987198e-05 -4.96844732e-04 -1.45896969e-05
1.60000000e+00 -4.42464892e-03 1.14674056e-04 1.67137448e-04 -4.74129127e-04
1.80000000e+00 -2.27772532e-03 -4.76895605e-05 2.08029041e-04 3.73179589e-04
2.00000000e+00 4.73849609e-03 -4.10307024e-05 -2.72469712e-04 3.47790446e-05
2.20000000e+00 -2.09014334e-03 6.37011374e-05 6.80592237e-05 -2.79095322e-04
