# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
2.40000000e-01 1.02466996e+00 3.89251105e-02 3.25949536e-02 5.28215484e-01
2.60000000e-01 1.01783947e+00 8.63893127e-02 5.95787494e-02 5.40604897e-01
2.80000000e-01 1.00825642e+00 1.60719962e-01 8.56316143e-02 5.39132685e-01
3.00000000e-01 9.97691668e-01 2.54589264e-01 1.10683763e-01 5.31646495e-01
3.20000000e-01 9.88017804e-01 3.50584189e-01 1.34669913e-01 5.22135709e-01
3.40000000e-01 9.80881247e-01 4.30800856e-01 1.57547176e-01 5.12148134e-01
3.60000000e-01 9.77425959e-01 4.86720457e-01 1.79308125e-01 5.02211681e-01
3.80000000e-01 9.78114742e-01 5.20837586e-01 1.99986961e-01 4.92543324e-01
4.00000000e-01 9.82675261e-01 5.40953347e-01 2.19657997e-01 4.83275100e-01
4.20000000e-01 9.90175363e-01 5.54134261e-01 2.38427020e-01 4.74494900e-01
4.40000000e-01 9.99209699e-01 5.64457207e-01 2.56417307e-01 4.66242833e-01
4.60000000e-01 1.00816109e+00 5.73630658e-01 2.73752933e-01 4.58506164e-01
4.80000000e-01 1.01548851e+00 5.82215271e-01 2.90542371e-01 4.51222168e-01
5.00000000e-01 1.01999091e+00 5.90377767e-01 3.06865222e-01 4.44289426e-01
5.20000000e-01 1.02100201e+00 5.98181921e-01 3.22764249e-01 4.37585422e-01
5.40000000e-01 1.01848514e+00 6.05666324e-01 3.38243913e-01 4.30987177e-01
5.60000000e-01 1.01301544e+00 6.12858076e-01 3.53275410e-01 4.24391220e-01
5.80000000e-01 1.00565690e+00 6.19773664e-01 3.67807107e-01 4.17729480e-01
6.00000000e-01 9.97759463e-01 6.26419218e-01 3.81778353e-01 4.10978481e-01
6.20000000e-01 9.90714462e-01 6.32792171e-01 3.95134177e-01 4.04160525e-01
6.40000000e-01 9.85712237e-01 6.38884234e-01 4.07838272e-01 3.97336945e-01
6.60000000e-01 9.83543842e-01 6.44685160e-01 4.19882119e-01 3.90594913e-01
6.80000000e-01 9.84479455e-01 6.50186625e-01 4.31288803e-01 3.84030320e-01
7.00000000e-01 9.88241586e-01 6.55385537e-01 4.42111083e-01 3.77729849e-01
7.20000000e-01 9.94074101e-01 6.60286243e-01 4.52424266e-01 3.71755365e-01
7.40000000e-01 1.00089143e+00 6.64901288e-01 4.62315335e-01 3.66133232e-01
7.60000000e-01 1.00747909e+00 6.69250654e-01 4.71870347e-01 3.60850234e-01
7.80000000e-01 1.01270878e+00 6.73359677e-01 4.81162364e-01 3.55856520e-01
8.00000000e-01 1.01573038e+00 6.77256043e-01 4.90241980e-01 3.51074821e-01
8.20000000e-01 1.01610840e+00 6.80966441e-01 4.99132002e-01 3.46414089e-01
8.40000000e-01 1.01388148e+00 6.84513446e-01 5.07827033e-01 3.41785026e-01
8.60000000e-01 1.00953748e+00 6.87913183e-01 5.16297864e-01 3.37114748e-01
8.80000000e-01 1.00391191e+00 6.91174135e-01 5.24499716e-01 3.32358072e-01
9.00000000e-01 9.98029926e-01 6.94297272e-01 5.32382775e-01 3.27503604e-01
9.20000000e-01 9.92921714e-01 6.97277417e-01 5.39903109e-01 3.22573777e-01
9.40000000e-01 9.89443971e-01 7.00105580e-01 5.47032063e-01 3.17619051e-01
9.60000000e-01 9.88138309e-01 7.02771812e-01 5.53762574e-01 3.12707515e-01
9.80000000e-01 9.89149599e-01 7.05268068e-01 5.60111422e-01 3.07911858e-01
