# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
2.40000000e-01 1.00038014e+00 3.89420980e-02 3.38019249e-02 5.26913488e-01
2.60000000e-01 1.00042108e+00 8.64198159e-02 6.02690136e-02 5.38845199e-01
2.80000000e-01 1.00046058e+00 1.60759579e-01 8.57055179e-02 5.37165161e-01
3.00000000e-01 1.00049869e+00 2.54617762e-01 1.10152143e-01 5.29790157e-01
3.20000000e-01 1.00053546e+00 3.50565920e-01 1.33647985e-01 5.20698064e-01
3.40000000e-01 1.00057095e+00 4.30697909e-01 1.56230594e-01 5.11359509e-01
3.60000000e-01 1.00060520e+00 4.86512116e-01 1.77936036e-01 5.02183187e-01
3.80000000e-01 1.00063826e+00 5.20533326e-01 1.98798953e-01 4.93250673e-01
4.00000000e-01 1.00067018e+00 5.40592177e-01 2.18852616e-01 4.84567659e-01
4.20000000e-01 1.00070099e+00 5.53773203e-01 2.38128982e-01 4.76126539e-01
4.40000000e-01 1.00073075e+00 5.64156068e-01 2.56658743e-01 4.67918177e-01
4.60000000e-01 1.00075948e+00 5.73438518e-01 2.74471379e-01 4.59933594e-01
4.80000000e-01 1.00078724e+00 5.82161042e-01 2.91595207e-01 4.52164151e-01
5.00000000e-01 1.00081405e+00 5.90465518e-01 3.08057420e-01 4.44601547e-01
5.20000000e-01 1.00083995e+00 5.98391020e-01 3.23884140e-01 4.37237808e-01
5.40000000e-01 1.00086497e+00 6.05955932e-01 3.39100456e-01 4.30065276e-01
5.60000000e-01 1.00088915e+00 6.13174985e-01 3.53730463e-01 4.23076595e-01
5.80000000e-01 1.00091253e+00 6.20061982e-01 3.67797306e-01 4.16264699e-01
6.00000000e-01 1.00093512e+00 6.26630144e-01 3.81323215e-01 4.09622802e-01
6.20000000e-01 1.00095696e+00 6.32892168e-01 3.94329539e-01 4.03144385e-01
6.40000000e-01 1.00097807e+00 6.38860247e-01 4.06836786e-01 3.96823186e-01
6.60000000e-01 1.00099849e+00 6.44546094e-01 4.18864653e-01 3.90653190e-01
6.80000000e-01 1.00101824e+00 6.49960959e-01 4.30432056e-01 3.84628621e-01
7.00000000e-01 1.00103734e+00 6.55115644e-01 4.41557165e-01 3.78743929e-01
7.20000000e-01 1.00105582e+00 6.60020528e-01 4.52257434e-01 3.72993784e-01
7.40000000e-01 1.00107369e+00 6.64685576e-01 4.62549623e-01 3.67373066e-01
7.60000000e-01 1.00109099e+00 6.69120361e-01 4.72449833e-01 3.61876857e-01
7.80000000e-01 1.00110773e+00 6.73334077e-01 4.81973526e-01 3.56500432e-01
8.00000000e-01 1.00112393e+00 6.77335554e-01 4.91135555e-01 3.51239256e-01
8.20000000e-01 1.00113962e+00 6.81133273e-01 4.99950185e-01 3.46088968e-01
8.40000000e-01 1.00115481e+00 6.84735379e-01 5.08431116e-01 3.41045382e-01
8.60000000e-01 1.00116951e+00 6.88149696e-01 5.16591508e-01 3.36104477e-01
8.80000000e-01 1.00118375e+00 6.91383737e-01 5.24444002e-01 3.31262388e-01
9.00000000e-01 1.00119754e+00 6.94444720e-01 5.32000737e-01 3.26515407e-01
9.20000000e-01 1.00121090e+00 6.97339576e-01 5.39273372e-01 3.21859967e-01
9.40000000e-01 1.00122385e+00 7.00074962e-01 5.46273108e-01 3.17292645e-01
9.60000000e-01 1.00123639e+00 7.02657271e-01 5.53010702e-01 3.12810153e-01
9.80000000e-01 1.00124855e+00 7.05092645e-01 5.59496484e-01 3.08409330e-01
1.00000000e+00 1.00126033e+00 7.07386981e-01 5.65740378e-01 3.04087142e-01
1.20000000e+00 1.00136016e+00 7.23715274e-01 6.16797101e-01 2.64602218e-01
1.40000000e+00 1.00143407e+00 7.30949445e-01 6.52095935e-01 2.30399951e-01
1.60000000e+00 1.00148918e+00 7.32180671e-01 6.76842046e-01 1.99884038e-01
1.80000000e+00 1.00153030e+00 7.29472729e-01 6.94513516e-01 1.71984858e-01
2.00000000e+00 1.00156065e+00 7.24203012e-01 7.07434549e-01 1.45984735e-01
2.20000000e+00 1.00158243e+00 7.17290367e-01 7.17158425e-01 1.21401182e-01
2.40000000e+00 1.00159711e+00 7.09347316e-01 7.24723363e-01 9.79089093e-02
2.60000000e+00 1.00160573e+00 7.00781746e-01 7.30823455e-01 7.52877047e-02
2.80000000e+00 1.00160900e+00 6.91864857e-01 7.35922874e-01 5.33876189e-02
3.00000000e+00 1.00160741e+00 6.82776554e-01 7.40332173e-01 3.21057002e-02
3.20000000e+00 1.00160132e+00 6.73635772e-01 7.44259262e-01 1.13704522e-02
3.40000000e+00 1.00159101e+00 6.64520737e-01 7.47843470e-01 -8.86855288e-03
3.60000000e+00 1.00157667e+00 6.55482502e-01 7.51178293e-01 -2.86476133e-02
3.80000000e+00 1.00155846e+00 6.46553990e-01 7.54326601e-01 -4.79935357e-02
4.00000000e+00 1.00153652e+00 6.37756034e-01 7.57330794e-01 -6.69267344e-02
