# time_delay	fit_example_1	fit_example_2	fit_example_3	fit_example_4
9.00000000e+01 8.64457234e-01 7.97693473e-01 -2.45659712e-02 2.21143742e-02
1.00000000e+02 8.52052865e-01 7.86171243e-01 -2.05836309e-02 1.84882485e-02
2.00000000e+02 7.39583237e-01 6.81752437e-01 1.30110803e-02 -1.20989396e-02
3.00000000e+02 6.45337387e-01 5.94337176e-01 3.71311856e-02 -3.40553696e-02
4.00000000e+02 5.65921463e-01 5.20749893e-01 5.39698873e-02 -4.93791743e-02
5.00000000e+02 4.98620558e-01 4.58451126e-01 6.52419622e-02 -5.96325932e-02
6.00000000e+02 4.41258547e-01 4.05406130e-01 7.22859467e-02 -6.60350760e-02
7.00000000e+02 3.92087234e-01 3.59980965e-01 7.61446696e-02 -6.95366557e-02
8.00000000e+02 3.49698643e-01 3.20860288e-01 7.76287044e-02 -7.08757616e-02
9.00000000e+02 3.12955605e-01 2.86982298e-01 7.73663538e-02 -7.06247600e-02
1.00000000e+03 2.80936784e-01 2.57487218e-01 7.58430103e-02 -6.92258166e-02
1.10000000e+03 2.52893126e-01 2.31676482e-01 7.34321430e-02 -6.70191276e-02
1.20000000e+03 2.28213328e-01 2.08980385e-01 7.04196796e-02 -6.42651351e-02
1.30000000e+03 2.06396442e-01 1.88932419e-01 6.70231839e-02 -6.11619992e-02
1.40000000e+03 1.87030122e-01 1.71148894e-01 6.34069312e-02 -5.78593329e-02
