# time_delay 	 res_example_2 	 eps
-2.00000000e+00 2.14461296e-02 9.22790856e-02
-1.90000000e+00 -6.43481917e-02 9.22790856e-02
-1.80000000e+00 -1.90607831e-01 9.22790856e-02
-1.70000000e+00 1.69217636e-01 9.22790856e-02
-1.60000000e+00 -4.23104737e-02 9.22790856e-02
-1.50000000e+00 -1.53115509e-01 9.22790856e-02
-1.40000000e+00 7.75374800e-02 9.22790856e-02
-1.30000000e+00 -2.60321958e-02 9.22790856e-02
-1.20000000e+00 2.43145620e-02 9.22790856e-02
-1.10000000e+00 1.14009656e-01 9.22790856e-02
-1.00000000e+00 -8.98077202e-02 9.22790856e-02
-9.50000000e-01 -1.38924571e-01 9.22790856e-02
-9.00000000e-01 -1.56566107e-02 9.22790856e-02
-8.50000000e-01 -6.87065792e-02 9.22790856e-02
-8.00000000e-01 -6.79799774e-03 9.22790856e-02
-7.50000000e-01 -4.88611363e-03 9.22790856e-02
-7.00000000e-01 8.51072606e-02 9.22790856e-02
-6.50000000e-01 -2.70431702e-02 9.22790856e-02
-6.00000000e-01 -3.96928964e-02 9.22790856e-02
-5.50000000e-01 1.37164025e-01 9.22790856e-02
-5.00000000e-01 1.96725208e-01 9.22790856e-02
-4.50000000e-01 -1.39354611e-01 9.22790856e-02
-4.00000000e-01 -1.17672047e-01 9.22790856e-02
-3.50000000e-01 7.63538015e-02 9.22790856e-02
-3.00000000e-01 -5.58395413e-02 9.22790856e-02
-2.50000000e-01 2.65483826e-02 9.22790856e-02
-2.00000000e-01 4.12555004e-02 9.22790856e-02
-1.50000000e-01 6.39817174e-02 9.22790856e-02
-1.00000000e-01 -2.30165889e-01 9.22790856e-02
-5.00000000e-02 1.78512394e-01 9.22790856e-02
8.88178420e-16 1.22332179e-02 9.22790856e-02
5.00000000e-02 -5.78689501e-02 9.22790856e-02
1.00000000e-01 1.26775116e-02 9.22790856e-02
1.50000000e-01 -1.88310364e-02 9.22790856e-02
2.00000000e-01 2.01938980e-02 9.22790856e-02
2.50000000e-01 -1.10112196e-01 9.22790856e-02
3.00000000e-01 1.33391946e-01 9.22790856e-02
3.50000000e-01 -4.24773390e-02 9.22790856e-02
4.00000000e-01 1.17752969e-01 9.22790856e-02
4.50000000e-01 2.50371312e-02 9.22790856e-02
5.00000000e-01 8.46697883e-02 9.22790856e-02
5.50000000e-01 -9.82974322e-02 9.22790856e-02
6.00000000e-01 -1.16674374e-01 9.22790856e-02
6.50000000e-01 7.86223827e-02 9.22790856e-02
7.00000000e-01 8.04898071e-02 9.22790856e-02
7.50000000e-01 -4.60445189e-02 9.22790856e-02
8.00000000e-01 -6.38551184e-02 9.22790856e-02
8.50000000e-01 -1.19607791e-02 9.22790856e-02
9.00000000e-01 4.16078531e-02 9.22790856e-02
9.50000000e-01 1.45645062e-01 9.22790856e-02
1.00000000e+00 -3.71207273e-02 9.22790856e-02
2.00000000e+00 8.06262020e-02 9.22790856e-02
3.00000000e+00 -8.97883464e-02 9.22790856e-02
4.00000000e+00 3.54110757e-02 9.22790856e-02
5.00000000e+00 3.33212477e-02 9.22790856e-02
6.00000000e+00 1.95434580e-01 9.22790856e-02
7.00000000e+00 8.52549821e-02 9.22790856e-02
8.00000000e+00 -1.10808638e-01 9.22790856e-02
9.00000000e+00 3.36528525e-02 9.22790856e-02
1.00000000e+01 -1.85567016e-01 9.22790856e-02
2.00000000e+01 -2.50024785e-01 9.22790856e-02
3.00000000e+01 -4.66165531e-02 9.22790856e-02
4.00000000e+01 -1.93633665e-01 9.22790856e-02
5.00000000e+01 2.81592253e-02 9.22790856e-02
6.00000000e+01 -1.09983488e-01 9.22790856e-02
7.00000000e+01 6.31214739e-02 9.22790856e-02
8.00000000e+01 7.33828785e-02 9.22790856e-02
9.00000000e+01 5.98329735e-02 9.22790856e-02
1.00000000e+02 9.53937730e-02 9.22790856e-02
2.00000000e+02 3.28750819e-02 9.22790856e-02
3.00000000e+02 2.18606366e-03 9.22790856e-02
4.00000000e+02 3.30996860e-03 9.22790856e-02
5.00000000e+02 3.07806984e-02 9.22790856e-02
6.00000000e+02 -1.01391354e-02 9.22790856e-02
7.00000000e+02 -8.69821647e-03 9.22790856e-02
8.00000000e+02 -6.15099082e-02 9.22790856e-02
9.00000000e+02 1.76499851e-01 9.22790856e-02
1.00000000e+03 3.33683191e-02 9.22790856e-02
1.10000000e+03 -9.17376264e-02 9.22790856e-02
1.20000000e+03 1.27189421e-01 9.22790856e-02
1.30000000e+03 -7.67290400e-02 9.22790856e-02
1.40000000e+03 -2.08752176e-01 9.22790856e-02
