# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
2.40000000e-01 9.96296806e-01 4.05176900e-02 3.38075501e-02 5.26247258e-01
2.60000000e-01 9.96568828e-01 8.83215383e-02 6.02760343e-02 5.38987293e-01
2.80000000e-01 9.96830074e-01 1.62258465e-01 8.57139549e-02 5.37829980e-01
3.00000000e-01 9.97080967e-01 2.55034971e-01 1.10162012e-01 5.30670222e-01
3.20000000e-01 9.97321915e-01 3.49863084e-01 1.33659296e-01 5.21614751e-01
3.40000000e-01 9.97553311e-01 4.29497482e-01 1.56243355e-01 5.12242944e-01
3.60000000e-01 9.97775529e-01 4.85529622e-01 1.77950250e-01 5.03014629e-01
3.80000000e-01 9.97988931e-01 5.20086727e-01 1.98814619e-01 4.94027819e-01
4.00000000e-01 9.98193864e-01 5.40599868e-01 2.18869730e-01 4.85292022e-01
4.20000000e-01 9.98390661e-01 5.54020553e-01 2.38147536e-01 4.76800240e-01
4.40000000e-01 9.98579642e-01 5.64483581e-01 2.56678728e-01 4.68543347e-01
4.60000000e-01 9.98761115e-01 5.73772579e-01 2.74492783e-01 4.60512290e-01
4.80000000e-01 9.98935375e-01 5.82478048e-01 2.91618013e-01 4.52698348e-01
5.00000000e-01 9.99102705e-01 5.90760453e-01 3.08081613e-01 4.45093143e-01
5.20000000e-01 9.99263378e-01 5.98663770e-01 3.23909700e-01 4.37688627e-01
5.40000000e-01 9.99417655e-01 6.06207319e-01 3.39127362e-01 4.30477070e-01
5.60000000e-01 9.99565788e-01 6.13405943e-01 3.53758693e-01 4.23451046e-01
5.80000000e-01 9.99708019e-01 6.20273419e-01 3.67826836e-01 4.16603425e-01
6.00000000e-01 9.99844578e-01 6.26822933e-01 3.81354019e-01 4.09927355e-01
6.20000000e-01 9.99975688e-01 6.33067146e-01 3.94361592e-01 4.03416256e-01
6.40000000e-01 1.00010156e+00 6.39018218e-01 4.06870060e-01 3.97063808e-01
6.60000000e-01 1.00022241e+00 6.44687827e-01 4.18899119e-01 3.90863940e-01
6.80000000e-01 1.00033843e+00 6.50087191e-01 4.30467686e-01 3.84810819e-01
7.00000000e-01 1.00044980e+00 6.55227084e-01 4.41593931e-01 3.78898846e-01
7.20000000e-01 1.00055671e+00 6.60117852e-01 4.52295303e-01 3.73122639e-01
7.40000000e-01 1.00065934e+00 6.64769435e-01 4.62588566e-01 3.67477030e-01
7.60000000e-01 1.00075785e+00 6.69191377e-01 4.72489819e-01 3.61957055e-01
7.80000000e-01 1.00085240e+00 6.73392848e-01 4.82014523e-01 3.56557946e-01
8.00000000e-01 1.00094315e+00 6.77382651e-01 4.91177532e-01 3.51275122e-01
8.20000000e-01 1.00103025e+00 6.81169245e-01 4.99993109e-01 3.46104183e-01
8.40000000e-01 1.00111384e+00 6.84760753e-01 5.08474957e-01 3.41040903e-01
8.60000000e-01 1.00119405e+00 6.88164975e-01 5.16636234e-01 3.36081222e-01
8.80000000e-01 1.00127103e+00 6.91389405e-01 5.24489581e-01 3.31221242e-01
9.00000000e-01 1.00134489e+00 6.94441239e-01 5.32047137e-01 3.26457216e-01
9.20000000e-01 1.00141576e+00 6.97327390e-01 5.39320562e-01 3.21785546e-01
9.40000000e-01 1.00148375e+00 7.00054496e-01 5.46321056e-01 3.17202775e-01
9.60000000e-01 1.00154898e+00 7.02628933e-01 5.53059377e-01 3.12705585e-01
9.80000000e-01 1.00161155e+00 7.05056825e-01 5.59545855e-01 3.08290785e-01
1.00000000e+00 1.00167158e+00 7.07344054e-01 5.65790415e-01 3.03955311e-01
1.20000000e+00 1.00215148e+00 7.23618720e-01 6.16852188e-01 2.64370036e-01
1.40000000e+00 1.00246416e+00 7.30822992e-01 6.52153461e-01 2.30112194e-01
1.60000000e+00 1.00266393e+00 7.32039723e-01 6.76899890e-01 1.99570347e-01
1.80000000e+00 1.00278712e+00 7.29327219e-01 6.94570034e-01 1.71664728e-01
2.00000000e+00 1.00285803e+00 7.24059284e-01 7.07488509e-01 1.45670861e-01
2.20000000e+00 1.00289291e+00 7.17152412e-01 7.17208940e-01 1.21101711e-01
2.40000000e+00 1.00290264e+00 7.09217584e-01 7.24769815e-01 9.76289415e-02
2.60000000e+00 1.00289452e+00 7.00661680e-01 7.30865436e-01 7.50303101e-02
2.80000000e+00 1.00287343e+00 6.91755245e-01 7.35960134e-01 5.31545134e-02
3.00000000e+00 1.00284267e+00 6.82677755e-01 7.40364579e-01 3.18977015e-02
3.20000000e+00 1.00280445e+00 6.73547872e-01 7.44286767e-01 1.11877847e-02
3.40000000e+00 1.00276028e+00 6.64443645e-01 7.47866088e-01 -9.02605344e-03
3.60000000e+00 1.00271119e+00 6.55416017e-01 7.51196081e-01 -2.87803628e-02
3.80000000e+00 1.00265786e+00 6.46497840e-01 7.54339646e-01 -4.81021099e-02
4.00000000e+00 1.00260080e+00 6.37709909e-01 7.57339205e-01 -6.70118078e-02
4.20000000e+00 1.00254035e+00 6.29064979e-01 7.60223486e-01 -8.55256081e-02
4.40000000e+00 1.00247675e+00 6.20570461e-01 7.63012063e-01 -1.03656699e-01
4.60000000e+00 1.00241019e+00 6.12230216e-01 7.65718386e-01 -1.21416244e-01
4.80000000e+00 1.00234081e+00 6.04045754e-01 7.68351805e-01 -1.38814002e-01
5.00000000e+00 1.00226872e+00 5.96017036e-01 7.70918925e-01 -1.55858752e-01
6.00000000e+00 1.00187039e+00 5.58154237e-01 7.82890996e-01 -2.36054577e-01
7.00000000e+00 1.00141426e+00 5.23871238e-01 7.93603836e-01 -3.08485665e-01
8.00000000e+00 1.00090622e+00 4.92841503e-01 8.03203743e-01 -3.73901775e-01
9.00000000e+00 1.00035136e+00 4.64756349e-01 8.11800564e-01 -4.32974133e-01
1.00000000e+01 9.99754260e-01 4.39334803e-01 8.19490657e-01 -4.86308927e-01
2.00000000e+01 9.92199895e-01 2.86029447e-01 8.62060404e-01 -8.02319659e-01
3.00000000e+01 9.83188558e-01 2.28606261e-01 8.72055368e-01 -9.11889926e-01
4.00000000e+01 9.73705620e-01 2.06329714e-01 8.70169826e-01 -9.45876122e-01
5.00000000e+01 9.64111529e-01 1.96944301e-01 8.63986241e-01 -9.52227460e-01
6.00000000e+01 9.54537751e-01 1.92294795e-01 8.56282513e-01 -9.48513404e-01
7.00000000e+01 9.45031848e-01 1.89392746e-01 8.48076001e-01 -9.41171340e-01
8.00000000e+01 9.35610648e-01 1.87142974e-01 8.39738958e-01 -9.32559527e-01
9.00000000e+01 9.26279718e-01 1.85144050e-01 8.31407252e-01 -9.23541506e-01
