# time_delay 	 res_example_osc_3 	 eps
-2.00000000e+00 3.94513606e-03 4.35858993e-03
-1.80000000e+00 8.01119550e-03 4.35858993e-03
-1.60000000e+00 3.97112944e-03 4.35858993e-03
-1.40000000e+00 1.29513207e-04 4.35858993e-03
-1.20000000e+00 -1.06962904e-03 4.35858993e-03
-1.00000000e+00 -5.04009599e-03 4.35858993e-03
-9.80000000e-01 1.35876344e-03 4.35858993e-03
-9.60000000e-01 -9.24495442e-04 4.35858993e-03
-9.40000000e-01 3.97484958e-03 4.35858993e-03
-9.20000000e-01 -5.72278791e-03 4.35858993e-03
-9.00000000e-01 -1.75352114e-04 4.35858993e-03
-8.80000000e-01 -6.55312245e-03 4.35858993e-03
-8.60000000e-01 6.54489071e-04 4.35858993e-03
-8.40000000e-01 3.60020795e-03 4.35858993e-03
-8.20000000e-01 -1.25510259e-02 4.35858993e-03
-8.00000000e-01 -3.37136193e-03 4.35858993e-03
-7.80000000e-01 6.57267382e-04 4.35858993e-03
-7.60000000e-01 1.82998668e-03 4.35858993e-03
-7.40000000e-01 2.52141601e-03 4.35858993e-03
-7.20000000e-01 -5.25005262e-03 4.35858993e-03
-7.00000000e-01 -1.86025325e-03 4.35858993e-03
-6.80000000e-01 2.96498698e-03 4.35858993e-03
-6.60000000e-01 7.38071986e-04 4.35858993e-03
-6.40000000e-01 -3.91863070e-03 4.35858993e-03
-6.20000000e-01 -4.25253618e-03 4.35858993e-03
-6.00000000e-01 -2.04540263e-03 4.35858993e-03
-5.80000000e-01 -1.54306906e-04 4.35858993e-03
-5.60000000e-01 3.33392891e-03 4.35858993e-03
-5.40000000e-01 6.18883393e-03 4.35858993e-03
-5.20000000e-01 1.44828640e-02 4.35858993e-03
-5.00000000e-01 3.88444510e-03 4.35858993e-03
-4.80000000e-01 -1.11471408e-03 4.35858993e-03
-4.60000000e-01 -7.98608953e-03 4.35858993e-03
-4.40000000e-01 2.35496630e-04 4.35858993e-03
-4.20000000e-01 -1.60514793e-03 4.35858993e-03
-4.00000000e-01 -1.66346595e-03 4.35858993e-03
-3.80000000e-01 -3.44600901e-03 4.35858993e-03
-3.60000000e-01 -7.32738966e-03 4.35858993e-03
-3.40000000e-01 -2.99653404e-03 4.35858993e-03
-3.20000000e-01 1.74381794e-03 4.35858993e-03
-3.00000000e-01 -3.44254194e-03 4.35858993e-03
-2.80000000e-01 2.80569629e-04 4.35858993e-03
-2.60000000e-01 8.14463864e-03 4.35858993e-03
-2.40000000e-01 -1.50560181e-03 4.35858993e-03
-2.20000000e-01 -8.05790966e-03 4.35858993e-03
-2.00000000e-01 5.16818044e-03 4.35858993e-03
-1.80000000e-01 3.93032890e-03 4.35858993e-03
-1.60000000e-01 6.64470099e-03 4.35858993e-03
-1.40000000e-01 -6.60665886e-04 4.35858993e-03
-1.20000000e-01 1.17076951e-03 4.35858993e-03
-1.00000000e-01 -4.36760487e-03 4.35858993e-03
-8.00000000e-02 -1.48208582e-03 4.35858993e-03
-6.00000000e-02 -1.47511781e-03 4.35858993e-03
-4.00000000e-02 2.85334708e-03 4.35858993e-03
-2.00000000e-02 -1.39503912e-03 4.35858993e-03
8.88178420e-16 3.54302801e-03 4.35858993e-03
2.00000000e-02 6.08957054e-03 4.35858993e-03
4.00000000e-02 -2.04411195e-03 4.35858993e-03
6.00000000e-02 -1.28916570e-03 4.35858993e-03
8.00000000e-02 5.28667939e-03 4.35858993e-03
1.00000000e-01 1.00107222e-03 4.35858993e-03
1.20000000e-01 1.13672918e-04 4.35858993e-03
1.40000000e-01 -3.01188049e-03 4.35858993e-03
1.60000000e-01 -6.68846993e-03 4.35858993e-03
1.80000000e-01 -4.11053061e-03 4.35858993e-03
2.00000000e-01 -2.60847198e-03 4.35858993e-03
2.20000000e-01 7.24614946e-03 4.35858993e-03
2.40000000e-01 3.12117160e-03 4.35858993e-03
2.60000000e-01 1.30991344e-03 4.35858993e-03
2.80000000e-01 3.83409494e-03 4.35858993e-03
3.00000000e-01 2.87353501e-03 4.35858993e-03
3.20000000e-01 5.31521508e-05 4.35858993e-03
3.40000000e-01 2.06622073e-03 4.35858993e-03
3.60000000e-01 -4.53944898e-04 4.35858993e-03
3.80000000e-01 -5.86045189e-03 4.35858993e-03
4.00000000e-01 -2.00057177e-03 4.35858993e-03
4.20000000e-01 1.91670906e-03 4.35858993e-03
4.40000000e-01 2.24263090e-03 4.35858993e-03
4.60000000e-01 -7.85945843e-03 4.35858993e-03
4.80000000e-01 -5.44998997e-03 4.35858993e-03
5.00000000e-01 5.48564583e-03 4.35858993e-03
5.20000000e-01 3.79505174e-03 4.35858993e-03
5.40000000e-01 -6.88399998e-03 4.35858993e-03
5.60000000e-01 -1.98476009e-03 4.35858993e-03
5.80000000e-01 -1.89962019e-03 4.35858993e-03
6.00000000e-01 4.13776366e-03 4.35858993e-03
6.20000000e-01 -4.20623011e-03 4.35858993e-03
6.40000000e-01 -3.37268573e-03 4.35858993e-03
6.60000000e-01 3.52416296e-03 4.35858993e-03
6.80000000e-01 -4.40303126e-03 4.35858993e-03
7.00000000e-01 -2.40749343e-03 4.35858993e-03
7.20000000e-01 -3.90349646e-04 4.35858993e-03
7.40000000e-01 -5.87460537e-03 4.35858993e-03
7.60000000e-01 -1.36404359e-03 4.35858993e-03
7.80000000e-01 -2.12187655e-03 4.35858993e-03
8.00000000e-01 -5.53623476e-03 4.35858993e-03
8.20000000e-01 -4.98104198e-03 4.35858993e-03
8.40000000e-01 1.65491098e-03 4.35858993e-03
8.60000000e-01 -1.03316248e-03 4.35858993e-03
8.80000000e-01 1.79483836e-03 4.35858993e-03
9.00000000e-01 4.87124037e-03 4.35858993e-03
9.20000000e-01 4.70993891e-05 4.35858993e-03
9.40000000e-01 1.25044301e-02 4.35858993e-03
9.60000000e-01 1.17545105e-03 4.35858993e-03
9.80000000e-01 -6.75911083e-03 4.35858993e-03
1.00000000e+00 5.09103269e-03 4.35858993e-03
1.20000000e+00 -3.29084858e-03 4.35858993e-03
1.40000000e+00 -5.00239121e-03 4.35858993e-03
1.60000000e+00 5.03857332e-03 4.35858993e-03
1.80000000e+00 2.49903476e-03 4.35858993e-03
2.00000000e+00 -1.95998549e-03 4.35858993e-03
2.20000000e+00 2.13681322e-03 4.35858993e-03
2.40000000e+00 6.37123999e-03 4.35858993e-03
2.60000000e+00 -1.30626742e-03 4.35858993e-03
2.80000000e+00 2.28815731e-03 4.35858993e-03
3.00000000e+00 1.14112125e-03 4.35858993e-03
3.20000000e+00 4.89914888e-03 4.35858993e-03
3.40000000e+00 -4.06101373e-03 4.35858993e-03
3.60000000e+00 3.12627278e-03 4.35858993e-03
3.80000000e+00 2.92433064e-04 4.35858993e-03
4.00000000e+00 1.61848642e-03 4.35858993e-03
4.20000000e+00 5.80093873e-04 4.35858993e-03
4.40000000e+00 -2.04815356e-03 4.35858993e-03
4.60000000e+00 -4.93884356e-03 4.35858993e-03
4.80000000e+00 2.01285344e-03 4.35858993e-03
5.00000000e+00 1.54929797e-04 4.35858993e-03
6.00000000e+00 1.45944979e-03 4.35858993e-03
7.00000000e+00 1.95263930e-03 4.35858993e-03
8.00000000e+00 2.37390567e-03 4.35858993e-03
9.00000000e+00 3.27265710e-03 4.35858993e-03
1.00000000e+01 -1.25897417e-05 4.35858993e-03
2.00000000e+01 -4.01136666e-03 4.35858993e-03
3.00000000e+01 -5.38483848e-03 4.35858993e-03
4.00000000e+01 -5.50127171e-03 4.35858993e-03
5.00000000e+01 -5.50406199e-05 4.35858993e-03
6.00000000e+01 2.60300910e-03 4.35858993e-03
7.00000000e+01 -5.36113609e-03 4.35858993e-03
8.00000000e+01 1.20331605e-03 4.35858993e-03
9.00000000e+01 6.40025105e-03 4.35858993e-03
1.00000000e+02 -1.28512494e-03 4.35858993e-03
2.00000000e+02 6.31314684e-03 4.35858993e-03
3.00000000e+02 -4.97074930e-03 4.35858993e-03
4.00000000e+02 6.90909105e-04 4.35858993e-03
5.00000000e+02 2.38933803e-03 4.35858993e-03
6.00000000e+02 -1.59495750e-03 4.35858993e-03
7.00000000e+02 2.01690250e-03 4.35858993e-03
8.00000000e+02 5.36496299e-04 4.35858993e-03
9.00000000e+02 -1.71379755e-03 4.35858993e-03
1.00000000e+03 2.56854396e-03 4.35858993e-03
2.00000000e+03 6.72605599e-05 4.35858993e-03
