# time_delay 	 res_example_osc_1 	 eps
-2.00000000e+00 -3.06972537e-04 5.12801086e-03
-1.80000000e+00 -2.91532591e-03 5.12801086e-03
-1.60000000e+00 -2.57010350e-03 5.12801086e-03
-1.40000000e+00 -7.47036152e-03 5.12801086e-03
-1.20000000e+00 -3.61328134e-03 5.12801086e-03
-1.00000000e+00 -1.35417191e-03 5.12801086e-03
-9.80000000e-01 5.94245833e-03 5.12801086e-03
-9.60000000e-01 3.73254806e-03 5.12801086e-03
-9.40000000e-01 7.96397144e-03 5.12801086e-03
-9.20000000e-01 2.74859863e-03 5.12801086e-03
-9.00000000e-01 -4.51816780e-03 5.12801086e-03
-8.80000000e-01 -5.12885540e-04 5.12801086e-03
-8.60000000e-01 -6.53547615e-03 5.12801086e-03
-8.40000000e-01 -5.80925994e-03 5.12801086e-03
-8.20000000e-01 2.30812986e-03 5.12801086e-03
-8.00000000e-01 9.49246807e-03 5.12801086e-03
-7.80000000e-01 -4.77189788e-06 5.12801086e-03
-7.60000000e-01 8.84980979e-04 5.12801086e-03
-7.40000000e-01 -6.61207782e-04 5.12801086e-03
-7.20000000e-01 -3.11541043e-03 5.12801086e-03
-7.00000000e-01 -3.92914717e-03 5.12801086e-03
-6.80000000e-01 -1.67171850e-03 5.12801086e-03
-6.60000000e-01 -4.89015429e-03 5.12801086e-03
-6.40000000e-01 1.98212151e-03 5.12801086e-03
-6.20000000e-01 -1.62855664e-03 5.12801086e-03
-6.00000000e-01 -1.65611256e-03 5.12801086e-03
-5.80000000e-01 2.13206311e-03 5.12801086e-03
-5.60000000e-01 3.34684635e-03 5.12801086e-03
-5.40000000e-01 -6.91396724e-03 5.12801086e-03
-5.20000000e-01 3.45746528e-03 5.12801086e-03
-5.00000000e-01 -1.42247169e-03 5.12801086e-03
-4.80000000e-01 -3.18436307e-03 5.12801086e-03
-4.60000000e-01 1.24229991e-02 5.12801086e-03
-4.40000000e-01 -4.62567079e-03 5.12801086e-03
-4.20000000e-01 5.51954645e-04 5.12801086e-03
-4.00000000e-01 -6.92214836e-03 5.12801086e-03
-3.80000000e-01 -9.37639148e-03 5.12801086e-03
-3.60000000e-01 8.39752305e-03 5.12801086e-03
-3.40000000e-01 2.42460149e-03 5.12801086e-03
-3.20000000e-01 -2.62832934e-03 5.12801086e-03
-3.00000000e-01 -2.33453473e-03 5.12801086e-03
-2.80000000e-01 -1.07555818e-03 5.12801086e-03
-2.60000000e-01 1.21978030e-03 5.12801086e-03
-2.40000000e-01 -3.93868780e-03 5.12801086e-03
-2.20000000e-01 3.82232217e-03 5.12801086e-03
-2.00000000e-01 -6.26019096e-03 5.12801086e-03
-1.80000000e-01 1.00820009e-02 5.12801086e-03
-1.60000000e-01 -3.24841723e-03 5.12801086e-03
-1.40000000e-01 5.84041204e-04 5.12801086e-03
-1.20000000e-01 4.21307963e-03 5.12801086e-03
-1.00000000e-01 -5.47399902e-04 5.12801086e-03
-8.00000000e-02 1.39099557e-03 5.12801086e-03
-6.00000000e-02 -8.26306638e-03 5.12801086e-03
-4.00000000e-02 -2.19270228e-02 5.12801086e-03
-2.00000000e-02 -3.06378312e-02 5.12801086e-03
8.88178420e-16 -1.49268817e-02 5.12801086e-03
2.00000000e-02 -2.51247495e-02 5.12801086e-03
4.00000000e-02 -5.63091032e-03 5.12801086e-03
6.00000000e-02 9.73823194e-03 5.12801086e-03
8.00000000e-02 1.55548836e-02 5.12801086e-03
1.00000000e-01 2.29974224e-02 5.12801086e-03
1.20000000e-01 2.63439482e-02 5.12801086e-03
1.40000000e-01 2.55520644e-02 5.12801086e-03
1.60000000e-01 3.44542366e-02 5.12801086e-03
1.80000000e-01 2.13928338e-02 5.12801086e-03
2.00000000e-01 8.27611829e-03 5.12801086e-03
2.20000000e-01 -1.02867235e-02 5.12801086e-03
2.40000000e-01 -6.77659815e-03 5.12801086e-03
2.60000000e-01 -1.41511169e-02 5.12801086e-03
2.80000000e-01 -1.65436834e-02 5.12801086e-03
3.00000000e-01 -2.20543267e-02 5.12801086e-03
3.20000000e-01 -2.64265963e-03 5.12801086e-03
3.40000000e-01 1.09788739e-03 5.12801086e-03
3.60000000e-01 4.34494961e-03 5.12801086e-03
3.80000000e-01 8.00998101e-03 5.12801086e-03
4.00000000e-01 2.09743538e-02 5.12801086e-03
4.20000000e-01 2.16185178e-02 5.12801086e-03
4.40000000e-01 1.75547864e-02 5.12801086e-03
4.60000000e-01 2.34228798e-02 5.12801086e-03
4.80000000e-01 6.55333526e-03 5.12801086e-03
5.00000000e-01 6.71034807e-03 5.12801086e-03
5.20000000e-01 -8.64492472e-03 5.12801086e-03
5.40000000e-01 -7.11178929e-03 5.12801086e-03
5.60000000e-01 -1.84681160e-02 5.12801086e-03
5.80000000e-01 -1.24338579e-02 5.12801086e-03
6.00000000e-01 -1.23383385e-02 5.12801086e-03
6.20000000e-01 -1.79676473e-02 5.12801086e-03
6.40000000e-01 -4.95509974e-03 5.12801086e-03
6.60000000e-01 -3.09420677e-03 5.12801086e-03
6.80000000e-01 1.31173731e-03 5.12801086e-03
7.00000000e-01 -2.49310701e-03 5.12801086e-03
7.20000000e-01 1.04330808e-02 5.12801086e-03
7.40000000e-01 1.28730879e-02 5.12801086e-03
7.60000000e-01 1.35245228e-02 5.12801086e-03
7.80000000e-01 8.76797050e-03 5.12801086e-03
8.00000000e-01 8.77702080e-04 5.12801086e-03
8.20000000e-01 -9.97750110e-03 5.12801086e-03
8.40000000e-01 -4.63462584e-03 5.12801086e-03
8.60000000e-01 -1.76651534e-02 5.12801086e-03
8.80000000e-01 -1.17490237e-02 5.12801086e-03
9.00000000e-01 -1.23586466e-03 5.12801086e-03
9.20000000e-01 -1.20402413e-02 5.12801086e-03
9.40000000e-01 -4.14456796e-03 5.12801086e-03
9.60000000e-01 3.37428369e-04 5.12801086e-03
9.80000000e-01 2.71341504e-03 5.12801086e-03
1.00000000e+00 5.59364200e-03 5.12801086e-03
1.20000000e+00 -1.57249635e-02 5.12801086e-03
1.40000000e+00 -3.92393604e-03 5.12801086e-03
1.60000000e+00 -2.26531510e-03 5.12801086e-03
1.80000000e+00 3.09817438e-03 5.12801086e-03
2.00000000e+00 8.88966581e-03 5.12801086e-03
2.20000000e+00 8.09076298e-03 5.12801086e-03
2.40000000e+00 9.83063074e-03 5.12801086e-03
2.60000000e+00 5.57273911e-03 5.12801086e-03
2.80000000e+00 -2.05642262e-03 5.12801086e-03
3.00000000e+00 -7.99256355e-03 5.12801086e-03
3.20000000e+00 -1.67158901e-03 5.12801086e-03
3.40000000e+00 -1.38977530e-04 5.12801086e-03
3.60000000e+00 -1.38049147e-02 5.12801086e-03
3.80000000e+00 -8.25371319e-03 5.12801086e-03
4.00000000e+00 -4.93146730e-03 5.12801086e-03
4.20000000e+00 3.20349333e-03 5.12801086e-03
4.40000000e+00 -3.75806319e-04 5.12801086e-03
4.60000000e+00 7.20247792e-03 5.12801086e-03
4.80000000e+00 1.64685134e-03 5.12801086e-03
5.00000000e+00 -1.89290684e-03 5.12801086e-03
6.00000000e+00 2.10499963e-03 5.12801086e-03
7.00000000e+00 5.23578196e-03 5.12801086e-03
8.00000000e+00 5.59155505e-03 5.12801086e-03
9.00000000e+00 -8.64834762e-03 5.12801086e-03
1.00000000e+01 5.63379530e-03 5.12801086e-03
2.00000000e+01 -9.60460153e-03 5.12801086e-03
3.00000000e+01 -2.36405814e-03 5.12801086e-03
4.00000000e+01 -9.38133328e-03 5.12801086e-03
5.00000000e+01 -1.69318918e-03 5.12801086e-03
6.00000000e+01 1.07650208e-03 5.12801086e-03
