# time_delay 	 res_example_basic_4 	 eps
-2.50000000e+03 2.42329209e-02 2.68278517e-02
-2.40000000e+03 -4.87419678e-03 2.68278517e-02
-2.30000000e+03 1.35181619e-02 2.68278517e-02
-2.20000000e+03 1.00767665e-02 2.68278517e-02
-2.10000000e+03 -2.77537935e-02 2.68278517e-02
-2.00000000e+03 -3.52585018e-02 2.68278517e-02
-1.90000000e+03 3.33402263e-02 2.68278517e-02
-1.80000000e+03 -1.12013858e-03 2.68278517e-02
-1.70000000e+03 -1.63198911e-02 2.68278517e-02
-1.60000000e+03 2.01474090e-02 2.68278517e-02
-1.50000000e+03 -2.91389456e-02 2.68278517e-02
-1.40000000e+03 8.29490889e-03 2.68278517e-02
-1.30000000e+03 -1.06030530e-02 2.68278517e-02
-1.20000000e+03 4.41067599e-03 2.68278517e-02
-1.10000000e+03 2.85453712e-02 2.68278517e-02
-1.00000000e+03 -1.30670376e-03 2.68278517e-02
-9.00000000e+02 2.08591377e-02 2.68278517e-02
-8.00000000e+02 -1.94682539e-02 2.68278517e-02
-7.00000000e+02 3.99843907e-03 2.68278517e-02
-6.00000000e+02 -2.64302813e-02 2.68278517e-02
-5.00000000e+02 2.38808889e-03 2.68278517e-02
-4.50000000e+02 2.72920262e-02 2.68278517e-02
-4.00000000e+02 4.64744116e-02 2.68278517e-02
-3.50000000e+02 1.73266157e-02 2.68278517e-02
-3.00000000e+02 -1.28955914e-02 2.68278517e-02
-2.50000000e+02 -4.24121661e-02 2.68278517e-02
-2.00000000e+02 -1.49643396e-02 2.68278517e-02
-1.50000000e+02 3.44265382e-02 2.68278517e-02
-1.00000000e+02 -1.20710981e-02 2.68278517e-02
-5.00000000e+01 2.00937549e-03 2.68278517e-02
0.00000000e+00 -5.51263800e-04 2.68278517e-02
5.00000000e+01 4.51598031e-02 2.68278517e-02
1.00000000e+02 -3.54754636e-02 2.68278517e-02
1.50000000e+02 1.62141972e-02 2.68278517e-02
2.00000000e+02 7.47254150e-03 2.68278517e-02
2.50000000e+02 -5.09577507e-02 2.68278517e-02
3.00000000e+02 1.99185339e-02 2.68278517e-02
3.50000000e+02 8.41652180e-03 2.68278517e-02
4.00000000e+02 1.18237717e-02 2.68278517e-02
4.50000000e+02 -2.41078850e-02 2.68278517e-02
5.00000000e+02 2.79116950e-02 2.68278517e-02
5.50000000e+02 -2.13479458e-02 2.68278517e-02
6.00000000e+02 6.84565565e-02 2.68278517e-02
6.50000000e+02 -3.29177542e-02 2.68278517e-02
7.00000000e+02 -4.80759350e-03 2.68278517e-02
7.50000000e+02 -1.06617113e-02 2.68278517e-02
8.00000000e+02 -2.78531239e-02 2.68278517e-02
8.50000000e+02 -5.06058409e-03 2.68278517e-02
9.00000000e+02 -1.57661218e-02 2.68278517e-02
9.50000000e+02 -5.64527109e-02 2.68278517e-02
1.00000000e+03 -1.30625889e-02 2.68278517e-02
1.05000000e+03 1.50303593e-02 2.68278517e-02
1.10000000e+03 2.80654141e-02 2.68278517e-02
1.15000000e+03 -5.25493829e-02 2.68278517e-02
1.20000000e+03 1.07697354e-02 2.68278517e-02
1.25000000e+03 -1.36132324e-02 2.68278517e-02
1.30000000e+03 -5.45257155e-03 2.68278517e-02
1.35000000e+03 -1.20394633e-02 2.68278517e-02
1.40000000e+03 -1.02748662e-04 2.68278517e-02
1.45000000e+03 -1.45524437e-02 2.68278517e-02
1.50000000e+03 4.07340029e-02 2.68278517e-02
1.75000000e+03 3.28783969e-02 2.68278517e-02
2.00000000e+03 1.49004232e-02 2.68278517e-02
2.25000000e+03 -2.11813901e-02 2.68278517e-02
2.50000000e+03 -1.13447798e-02 2.68278517e-02
2.75000000e+03 2.68930586e-02 2.68278517e-02
3.00000000e+03 -1.32615682e-02 2.68278517e-02
3.25000000e+03 -5.99197067e-03 2.68278517e-02
3.50000000e+03 4.32786821e-02 2.68278517e-02
3.75000000e+03 3.01581259e-02 2.68278517e-02
4.00000000e+03 -1.92864211e-02 2.68278517e-02
4.25000000e+03 4.98901917e-02 2.68278517e-02
4.50000000e+03 -1.00937691e-03 2.68278517e-02
4.75000000e+03 -1.81976125e-02 2.68278517e-02
5.00000000e+03 3.88878149e-02 2.68278517e-02
7.50000000e+03 -1.27937977e-02 2.68278517e-02
1.00000000e+04 7.29816632e-03 2.68278517e-02
1.25000000e+04 -1.16657798e-02 2.68278517e-02
1.50000000e+04 4.56694294e-02 2.68278517e-02
1.75000000e+04 -8.68432990e-02 2.68278517e-02
2.00000000e+04 -1.93025808e-02 2.68278517e-02
2.25000000e+04 1.57051533e-02 2.68278517e-02
2.50000000e+04 -2.76429164e-02 2.68278517e-02
2.75000000e+04 -6.65942093e-03 2.68278517e-02
3.00000000e+04 -7.77187340e-03 2.68278517e-02
3.25000000e+04 4.22161294e-02 2.68278517e-02
3.50000000e+04 -3.11713348e-02 2.68278517e-02
3.75000000e+04 -1.16331052e-02 2.68278517e-02
4.00000000e+04 5.45634046e-03 2.68278517e-02
4.25000000e+04 8.75644099e-03 2.68278517e-02
4.50000000e+04 -1.24486617e-02 2.68278517e-02
4.75000000e+04 1.04562550e-02 2.68278517e-02
