# time_delay 	 res_example_basic_1 	 eps
-2.50000000e+03 -2.23160744e-03 4.98671138e-02
-2.40000000e+03 1.08297634e-02 4.98671138e-02
-2.30000000e+03 -1.08820571e-01 4.98671138e-02
-2.20000000e+03 6.05929414e-02 4.98671138e-02
-2.10000000e+03 -1.92487597e-02 4.98671138e-02
-2.00000000e+03 -1.29413605e-02 4.98671138e-02
-1.90000000e+03 -2.55039402e-02 4.98671138e-02
-1.80000000e+03 1.44675713e-02 4.98671138e-02
-1.70000000e+03 -3.64235215e-02 4.98671138e-02
-1.60000000e+03 2.35778911e-02 4.98671138e-02
-1.50000000e+03 -2.04112845e-02 4.98671138e-02
-1.40000000e+03 -4.26802907e-03 4.98671138e-02
-1.30000000e+03 -3.58720135e-02 4.98671138e-02
-1.20000000e+03 -3.68893041e-02 4.98671138e-02
-1.10000000e+03 1.52830358e-02 4.98671138e-02
-1.00000000e+03 2.07792169e-02 4.98671138e-02
-9.00000000e+02 1.77699899e-02 4.98671138e-02
-8.00000000e+02 -5.64469997e-02 4.98671138e-02
-7.00000000e+02 -7.96160877e-02 4.98671138e-02
-6.00000000e+02 -7.97667240e-02 4.98671138e-02
-5.00000000e+02 -3.72419515e-02 4.98671138e-02
-4.50000000e+02 5.73692856e-02 4.98671138e-02
-4.00000000e+02 9.90090064e-03 4.98671138e-02
-3.50000000e+02 -5.51186921e-03 4.98671138e-02
-3.00000000e+02 4.50094820e-02 4.98671138e-02
-2.50000000e+02 2.81163910e-02 4.98671138e-02
-2.00000000e+02 -3.76399089e-02 4.98671138e-02
-1.50000000e+02 4.91437874e-02 4.98671138e-02
-1.00000000e+02 -4.26549899e-02 4.98671138e-02
-5.00000000e+01 2.22197280e-02 4.98671138e-02
0.00000000e+00 2.18024541e-02 4.98671138e-02
5.00000000e+01 -4.41879424e-02 4.98671138e-02
1.00000000e+02 2.02092944e-02 4.98671138e-02
1.50000000e+02 -1.59485009e-04 4.98671138e-02
2.00000000e+02 3.86639255e-02 4.98671138e-02
2.50000000e+02 -4.90667713e-02 4.98671138e-02
3.00000000e+02 1.50405897e-02 4.98671138e-02
3.50000000e+02 1.67057669e-02 4.98671138e-02
4.00000000e+02 -6.81590033e-03 4.98671138e-02
4.50000000e+02 -4.26523781e-02 4.98671138e-02
5.00000000e+02 1.12216823e-01 4.98671138e-02
5.50000000e+02 -6.64660392e-02 4.98671138e-02
6.00000000e+02 5.44779494e-02 4.98671138e-02
6.50000000e+02 -1.29350620e-02 4.98671138e-02
7.00000000e+02 -9.68681286e-02 4.98671138e-02
7.50000000e+02 -3.42060940e-02 4.98671138e-02
8.00000000e+02 8.60734903e-02 4.98671138e-02
8.50000000e+02 -5.00475755e-02 4.98671138e-02
9.00000000e+02 -3.85590114e-02 4.98671138e-02
9.50000000e+02 3.20763137e-02 4.98671138e-02
1.00000000e+03 2.77430063e-02 4.98671138e-02
1.05000000e+03 -1.67386032e-02 4.98671138e-02
1.10000000e+03 -3.07416176e-02 4.98671138e-02
1.15000000e+03 -2.15293913e-02 4.98671138e-02
1.20000000e+03 -2.60830221e-03 4.98671138e-02
1.25000000e+03 5.16399375e-02 4.98671138e-02
1.30000000e+03 1.71730319e-02 4.98671138e-02
1.35000000e+03 1.57864323e-02 4.98671138e-02
1.40000000e+03 8.64499436e-03 4.98671138e-02
1.45000000e+03 -1.95904917e-02 4.98671138e-02
1.50000000e+03 -7.80255219e-02 4.98671138e-02
1.75000000e+03 1.66617240e-03 4.98671138e-02
2.00000000e+03 -2.74127785e-02 4.98671138e-02
2.25000000e+03 -1.82347362e-02 4.98671138e-02
2.50000000e+03 1.74586447e-02 4.98671138e-02
2.75000000e+03 -3.44535856e-02 4.98671138e-02
3.00000000e+03 2.87607031e-02 4.98671138e-02
3.25000000e+03 -4.13212872e-02 4.98671138e-02
3.50000000e+03 1.31712871e-02 4.98671138e-02
3.75000000e+03 9.49563711e-02 4.98671138e-02
4.00000000e+03 -2.59709941e-02 4.98671138e-02
4.25000000e+03 -4.63019441e-03 4.98671138e-02
4.50000000e+03 6.09340212e-02 4.98671138e-02
4.75000000e+03 4.30508473e-02 4.98671138e-02
5.00000000e+03 5.62759745e-02 4.98671138e-02
7.50000000e+03 1.84461270e-02 4.98671138e-02
1.00000000e+04 -6.79383248e-02 4.98671138e-02
1.25000000e+04 -8.63969210e-03 4.98671138e-02
1.50000000e+04 1.16749260e-02 4.98671138e-02
1.75000000e+04 3.16615170e-02 4.98671138e-02
2.00000000e+04 -5.29668652e-02 4.98671138e-02
2.25000000e+04 4.34925360e-03 4.98671138e-02
2.50000000e+04 -3.97136163e-02 4.98671138e-02
2.75000000e+04 -7.14016451e-02 4.98671138e-02
3.00000000e+04 2.11304798e-02 4.98671138e-02
3.25000000e+04 1.17367454e-01 4.98671138e-02
3.50000000e+04 -4.73766033e-02 4.98671138e-02
3.75000000e+04 -4.02762484e-02 4.98671138e-02
4.00000000e+04 4.92016125e-02 4.98671138e-02
4.25000000e+04 -4.91363072e-03 4.98671138e-02
4.50000000e+04 2.55230481e-02 4.98671138e-02
4.75000000e+04 5.80011054e-02 4.98671138e-02
