# time_delay	fit_example_basic_1	fit_example_basic_2	fit_example_basic_3	fit_example_basic_4
3.50000000e+03 7.38971435e-01 5.97344960e-01 5.19542752e-01 2.29163778e-01
3.75000000e+03 7.20682370e-01 5.82698038e-01 5.06987055e-01 2.23402123e-01
4.00000000e+03 7.02837502e-01 5.68352697e-01 4.94616646e-01 2.17815987e-01
4.25000000e+03 6.85429382e-01 5.54325697e-01 4.82476627e-01 2.12388093e-01
4.50000000e+03 6.68449340e-01 5.40623817e-01 4.70591359e-01 2.07106692e-01
4.75000000e+03 6.51888070e-01 5.27247873e-01 4.58972727e-01 2.01963422e-01
5.00000000e+03 6.35735984e-01 5.14195159e-01 4.47625134e-01 1.96951994e-01
7.50000000e+03 4.94656601e-01 4.00101532e-01 3.48321351e-01 1.53236172e-01
1.00000000e+04 3.84883054e-01 3.11311615e-01 2.71022536e-01 1.19230140e-01
1.25000000e+04 2.99470298e-01 2.42225739e-01 2.10877562e-01 9.27707391e-02
1.50000000e+04 2.33012231e-01 1.88471312e-01 1.64079882e-01 7.21831750e-02
1.75000000e+04 1.81302454e-01 1.46645999e-01 1.27667484e-01 5.61643769e-02
2.00000000e+04 1.41068045e-01 1.14102506e-01 9.93356789e-02 4.37004500e-02
2.25000000e+04 1.09762404e-01 8.87810233e-02 7.72912317e-02 3.40025019e-02
2.50000000e+04 8.54040715e-02 6.90788519e-02 6.01388602e-02 2.64567100e-02
2.75000000e+04 6.64513088e-02 5.37489612e-02 4.67929210e-02 2.05854707e-02
3.00000000e+04 5.17045191e-02 4.18210603e-02 3.64086957e-02 1.60171693e-02
3.25000000e+04 4.02303182e-02 3.25401839e-02 2.83289244e-02 1.24626595e-02
3.50000000e+04 3.13024573e-02 2.53189078e-02 2.20422056e-02 9.69696200e-03
3.75000000e+04 2.43558559e-02 1.97001681e-02 1.71506274e-02 7.54502456e-03
4.00000000e+04 1.89508354e-02 1.53283319e-02 1.33445821e-02 5.87064234e-03
4.25000000e+04 1.47452902e-02 1.19266880e-02 1.03831694e-02 4.56783688e-03
4.50000000e+04 1.14730342e-02 9.27993264e-03 8.07894972e-03 3.55414834e-03
4.75000000e+04 8.92695309e-03 7.22054182e-03 6.28607950e-03 2.76541628e-03
