# time_delay 	 res_example_basic_2 	 eps
-2.50000000e+03 4.75311060e-02 3.58175033e-02
-2.40000000e+03 -8.92582944e-02 3.58175033e-02
-2.30000000e+03 -1.35605266e-02 3.58175033e-02
-2.20000000e+03 -5.22089018e-03 3.58175033e-02
-2.10000000e+03 1.15707812e-02 3.58175033e-02
-2.00000000e+03 -1.94343857e-02 3.58175033e-02
-1.90000000e+03 8.17880781e-03 3.58175033e-02
-1.80000000e+03 -4.86574126e-02 3.58175033e-02
-1.70000000e+03 -1.32394568e-02 3.58175033e-02
-1.60000000e+03 1.41882842e-02 3.58175033e-02
-1.50000000e+03 -4.15734649e-02 3.58175033e-02
-1.40000000e+03 -4.95773106e-02 3.58175033e-02
-1.30000000e+03 -6.92753399e-03 3.58175033e-02
-1.20000000e+03 -1.23450555e-02 3.58175033e-02
-1.10000000e+03 1.35157392e-02 3.58175033e-02
-1.00000000e+03 -2.15324749e-02 3.58175033e-02
-9.00000000e+02 -8.81150970e-03 3.58175033e-02
-8.00000000e+02 1.74740860e-02 3.58175033e-02
-7.00000000e+02 -2.87828831e-02 3.58175033e-02
-6.00000000e+02 1.57489042e-02 3.58175033e-02
-5.00000000e+02 4.59307450e-02 3.58175033e-02
-4.50000000e+02 -4.93975236e-02 3.58175033e-02
-4.00000000e+02 6.67885891e-02 3.58175033e-02
-3.50000000e+02 -3.53457095e-02 3.58175033e-02
-3.00000000e+02 1.49787560e-02 3.58175033e-02
-2.50000000e+02 -2.65373921e-02 3.58175033e-02
-2.00000000e+02 3.76137041e-02 3.58175033e-02
-1.50000000e+02 1.10910578e-02 3.58175033e-02
-1.00000000e+02 -1.70983019e-02 3.58175033e-02
-5.00000000e+01 3.53913111e-02 3.58175033e-02
0.00000000e+00 -8.09232808e-02 3.58175033e-02
5.00000000e+01 -3.66750147e-02 3.58175033e-02
1.00000000e+02 1.24176997e-02 3.58175033e-02
1.50000000e+02 8.47477278e-03 3.58175033e-02
2.00000000e+02 -2.39167491e-02 3.58175033e-02
2.50000000e+02 -9.25668185e-03 3.58175033e-02
3.00000000e+02 -9.97815540e-04 3.58175033e-02
3.50000000e+02 2.69656800e-02 3.58175033e-02
4.00000000e+02 -3.03033106e-02 3.58175033e-02
4.50000000e+02 -5.47546355e-02 3.58175033e-02
5.00000000e+02 2.94921203e-02 3.58175033e-02
5.50000000e+02 -3.04272784e-02 3.58175033e-02
6.00000000e+02 5.32662297e-02 3.58175033e-02
6.50000000e+02 4.16611247e-02 3.58175033e-02
7.00000000e+02 9.35134878e-03 3.58175033e-02
7.50000000e+02 8.34062852e-04 3.58175033e-02
8.00000000e+02 1.60103715e-02 3.58175033e-02
8.50000000e+02 -3.06536881e-02 3.58175033e-02
9.00000000e+02 6.81519434e-02 3.58175033e-02
9.50000000e+02 4.65617102e-02 3.58175033e-02
1.00000000e+03 -4.52964113e-02 3.58175033e-02
1.05000000e+03 -2.64967687e-02 3.58175033e-02
1.10000000e+03 3.66869061e-03 3.58175033e-02
1.15000000e+03 4.45641436e-02 3.58175033e-02
1.20000000e+03 4.16424869e-02 3.58175033e-02
1.25000000e+03 -6.37306084e-02 3.58175033e-02
1.30000000e+03 4.54430188e-02 3.58175033e-02
1.35000000e+03 7.74075733e-03 3.58175033e-02
1.40000000e+03 -4.67177632e-02 3.58175033e-02
1.45000000e+03 4.09358728e-02 3.58175033e-02
1.50000000e+03 -4.77852739e-02 3.58175033e-02
1.75000000e+03 -6.06972680e-02 3.58175033e-02
2.00000000e+03 -4.21094330e-02 3.58175033e-02
2.25000000e+03 -5.17271616e-03 3.58175033e-02
2.50000000e+03 -2.22564735e-02 3.58175033e-02
2.75000000e+03 -5.48400450e-02 3.58175033e-02
3.00000000e+03 2.91512488e-02 3.58175033e-02
3.25000000e+03 3.63279155e-02 3.58175033e-02
3.50000000e+03 2.19010930e-02 3.58175033e-02
3.75000000e+03 1.99911320e-02 3.58175033e-02
4.00000000e+03 2.44837981e-02 3.58175033e-02
4.25000000e+03 -1.86698994e-02 3.58175033e-02
4.50000000e+03 -2.96806404e-02 3.58175033e-02
4.75000000e+03 -1.61513584e-02 3.58175033e-02
5.00000000e+03 5.77100792e-02 3.58175033e-02
7.50000000e+03 2.56062688e-02 3.58175033e-02
1.00000000e+04 -4.70173803e-02 3.58175033e-02
1.25000000e+04 -7.80475739e-02 3.58175033e-02
1.50000000e+04 1.57622508e-02 3.58175033e-02
1.75000000e+04 2.25238068e-02 3.58175033e-02
2.00000000e+04 4.25410848e-02 3.58175033e-02
2.25000000e+04 3.01802413e-02 3.58175033e-02
2.50000000e+04 5.34957564e-02 3.58175033e-02
2.75000000e+04 2.28252502e-03 3.58175033e-02
3.00000000e+04 7.75573870e-04 3.58175033e-02
3.25000000e+04 2.77798088e-02 3.58175033e-02
3.50000000e+04 -4.10227641e-02 3.58175033e-02
3.75000000e+04 2.34823656e-03 3.58175033e-02
4.00000000e+04 9.91944142e-03 3.58175033e-02
4.25000000e+04 8.13960444e-03 3.58175033e-02
4.50000000e+04 1.42798967e-02 3.58175033e-02
4.75000000e+04 -4.31034065e-02 3.58175033e-02
