# energy 	 res 	 eps
8.52500000e+02 -2.15653306e-03 1.00000000e-02
8.52750000e+02 8.40451653e-03 1.00000000e-02
8.53000000e+02 -2.50861938e-02 1.00000000e-02
8.53250000e+02 -2.44486183e-02 1.00000000e-02
8.53500000e+02 -7.38218032e-03 1.00000000e-02
8.53750000e+02 -6.85742189e-03 1.00000000e-02
8.54000000e+02 -1.19322246e-02 1.00000000e-02
8.54250000e+02 -2.92672659e-02 1.00000000e-02
8.54500000e+02 -2.07960905e-02 1.00000000e-02
8.54750000e+02 -3.03012761e-02 1.00000000e-02
8.55000000e+02 -2.32853604e-02 1.00000000e-02
8.55250000e+02 -3.90445903e-02 1.00000000e-02
8.55500000e+02 -4.13845280e-02 1.00000000e-02
8.55750000e+02 -4.21930288e-02 1.00000000e-02
8.56000000e+02 -3.39485023e-02 1.00000000e-02
8.56250000e+02 -5.88049692e-02 1.00000000e-02
8.56500000e+02 -8.43440060e-02 1.00000000e-02
8.56750000e+02 -1.23072093e-01 1.00000000e-02
8.57000000e+02 -1.49526633e-01 1.00000000e-02
8.57250000e+02 -1.58410029e-01 1.00000000e-02
8.57500000e+02 -5.66639838e-02 1.00000000e-02
8.57750000e+02 1.62649381e-01 1.00000000e-02
8.58000000e+02 1.11838942e-01 1.00000000e-02
8.58250000e+02 -2.54571954e-01 1.00000000e-02
8.58500000e+02 -1.08622016e-01 1.00000000e-02
8.58750000e+02 5.39210117e-02 1.00000000e-02
8.59000000e+02 -1.45294949e-01 1.00000000e-02
8.59250000e+02 -1.31418387e-01 1.00000000e-02
8.59500000e+02 -9.79590535e-02 1.00000000e-02
8.59750000e+02 -4.43013714e-02 1.00000000e-02
8.60000000e+02 -1.73329984e-02 1.00000000e-02
8.60250000e+02 -7.94478000e-02 1.00000000e-02
8.60500000e+02 1.09058538e-01 1.00000000e-02
8.60750000e+02 2.13728067e-01 1.00000000e-02
8.61000000e+02 2.50189555e-01 1.00000000e-02
8.61250000e+02 3.05674902e-01 1.00000000e-02
8.61500000e+02 4.04578615e-01 1.00000000e-02
8.61750000e+02 5.14035216e-01 1.00000000e-02
8.62000000e+02 6.21956702e-01 1.00000000e-02
8.62250000e+02 7.29822480e-01 1.00000000e-02
8.62500000e+02 8.44342983e-01 1.00000000e-02
8.62750000e+02 8.92205274e-01 1.00000000e-02
8.63000000e+02 9.48276777e-01 1.00000000e-02
8.63250000e+02 9.85333651e-01 1.00000000e-02
8.63500000e+02 9.60780894e-01 1.00000000e-02
8.63750000e+02 9.75377076e-01 1.00000000e-02
8.64000000e+02 9.92904098e-01 1.00000000e-02
8.64250000e+02 9.78535268e-01 1.00000000e-02
8.64500000e+02 9.88675348e-01 1.00000000e-02
8.64750000e+02 9.99977790e-01 1.00000000e-02
8.65000000e+02 9.96437379e-01 1.00000000e-02
