# time_delay 	 res_example_basic_3 	 eps
-2.50000000e+03 1.29939588e-02 2.90841482e-02
-2.40000000e+03 -2.74965920e-02 2.90841482e-02
-2.30000000e+03 -3.37670014e-02 2.90841482e-02
-2.20000000e+03 2.11836667e-02 2.90841482e-02
-2.10000000e+03 -2.61557579e-02 2.90841482e-02
-2.00000000e+03 2.09938731e-02 2.90841482e-02
-1.90000000e+03 -3.07929328e-02 2.90841482e-02
-1.80000000e+03 -5.07630064e-03 2.90841482e-02
-1.70000000e+03 2.50003261e-02 2.90841482e-02
-1.60000000e+03 1.04958874e-02 2.90841482e-02
-1.50000000e+03 2.62043955e-02 2.90841482e-02
-1.40000000e+03 -3.62664839e-03 2.90841482e-02
-1.30000000e+03 2.87879382e-02 2.90841482e-02
-1.20000000e+03 3.85799272e-02 2.90841482e-02
-1.10000000e+03 -4.36617203e-05 2.90841482e-02
-1.00000000e+03 -2.16891137e-02 2.90841482e-02
-9.00000000e+02 -1.96146531e-02 2.90841482e-02
-8.00000000e+02 -3.30965820e-03 2.90841482e-02
-7.00000000e+02 -4.09611339e-02 2.90841482e-02
-6.00000000e+02 1.56121947e-02 2.90841482e-02
-5.00000000e+02 -3.21089339e-03 2.90841482e-02
-4.50000000e+02 1.78218502e-02 2.90841482e-02
-4.00000000e+02 -1.25511074e-02 2.90841482e-02
-3.50000000e+02 -3.17667772e-02 2.90841482e-02
-3.00000000e+02 -1.25882044e-02 2.90841482e-02
-2.50000000e+02 -1.13495646e-02 2.90841482e-02
-2.00000000e+02 1.55974367e-02 2.90841482e-02
-1.50000000e+02 -1.65358373e-01 2.90841482e-02
-1.00000000e+02 -2.86584095e-01 2.90841482e-02
-5.00000000e+01 -2.79180085e-01 2.90841482e-02
0.00000000e+00 -2.44828662e-01 2.90841482e-02
5.00000000e+01 -1.46420280e-01 2.90841482e-02
1.00000000e+02 -1.33142274e-01 2.90841482e-02
1.50000000e+02 -1.31655068e-01 2.90841482e-02
2.00000000e+02 -1.91404444e-01 2.90841482e-02
2.50000000e+02 -2.63166666e-01 2.90841482e-02
3.00000000e+02 -3.09643801e-01 2.90841482e-02
3.50000000e+02 -3.38128402e-01 2.90841482e-02
4.00000000e+02 -2.34553973e-01 2.90841482e-02
4.50000000e+02 -2.12489867e-01 2.90841482e-02
5.00000000e+02 -2.04024622e-01 2.90841482e-02
5.50000000e+02 -1.35512509e-01 2.90841482e-02
6.00000000e+02 -1.14628679e-01 2.90841482e-02
6.50000000e+02 -1.14161515e-01 2.90841482e-02
7.00000000e+02 -4.37920941e-02 2.90841482e-02
7.50000000e+02 -8.26555964e-02 2.90841482e-02
8.00000000e+02 -6.59399384e-03 2.90841482e-02
8.50000000e+02 1.60568851e-02 2.90841482e-02
9.00000000e+02 5.30275430e-03 2.90841482e-02
9.50000000e+02 3.36781036e-03 2.90841482e-02
1.00000000e+03 7.36270528e-02 2.90841482e-02
1.05000000e+03 1.21550748e-02 2.90841482e-02
1.10000000e+03 4.39237388e-02 2.90841482e-02
1.15000000e+03 4.77980934e-02 2.90841482e-02
1.20000000e+03 8.39164774e-02 2.90841482e-02
1.25000000e+03 8.00539118e-02 2.90841482e-02
1.30000000e+03 9.96593064e-02 2.90841482e-02
1.35000000e+03 1.29510421e-01 2.90841482e-02
1.40000000e+03 1.32190868e-01 2.90841482e-02
1.45000000e+03 1.12300256e-01 2.90841482e-02
1.50000000e+03 7.70031709e-02 2.90841482e-02
1.75000000e+03 1.38990675e-01 2.90841482e-02
2.00000000e+03 1.42376595e-01 2.90841482e-02
2.25000000e+03 9.69050080e-02 2.90841482e-02
2.50000000e+03 1.10323804e-01 2.90841482e-02
2.75000000e+03 1.27311325e-01 2.90841482e-02
3.00000000e+03 8.81054543e-02 2.90841482e-02
3.25000000e+03 1.09464101e-01 2.90841482e-02
3.50000000e+03 1.41647189e-01 2.90841482e-02
3.75000000e+03 1.01474644e-01 2.90841482e-02
4.00000000e+03 1.01540718e-01 2.90841482e-02
4.25000000e+03 1.36284493e-01 2.90841482e-02
4.50000000e+03 6.54149063e-02 2.90841482e-02
4.75000000e+03 1.01953144e-01 2.90841482e-02
5.00000000e+03 6.50028169e-02 2.90841482e-02
7.50000000e+03 7.29696074e-02 2.90841482e-02
1.00000000e+04 -5.31942339e-03 2.90841482e-02
1.25000000e+04 8.80165182e-03 2.90841482e-02
1.50000000e+04 4.79133781e-02 2.90841482e-02
1.75000000e+04 3.06356570e-02 2.90841482e-02
2.00000000e+04 -7.89888308e-03 2.90841482e-02
2.25000000e+04 -2.04173436e-02 2.90841482e-02
2.50000000e+04 -3.71710601e-02 2.90841482e-02
2.75000000e+04 -7.79749285e-02 2.90841482e-02
3.00000000e+04 -5.52086886e-02 2.90841482e-02
3.25000000e+04 -3.34321208e-02 2.90841482e-02
3.50000000e+04 -9.24840673e-03 2.90841482e-02
3.75000000e+04 4.31473672e-02 2.90841482e-02
4.00000000e+04 -1.42675888e-02 2.90841482e-02
4.25000000e+04 -2.61955833e-02 2.90841482e-02
4.50000000e+04 -1.15938585e-02 2.90841482e-02
4.75000000e+04 -1.13760399e-02 2.90841482e-02
