# time_delay 	 res_example_basic_4 	 eps
-2.50000000e+03 2.42329209e-02 2.68278517e-02
-2.40000000e+03 -4.87419678e-03 2.68278517e-02
-2.30000000e+03 1.35181619e-02 2.68278517e-02
-2.20000000e+03 1.00767665e-02 2.68278517e-02
-2.10000000e+03 -2.77537935e-02 2.68278517e-02
-2.00000000e+03 -3.52585018e-02 2.68278517e-02
-1.90000000e+03 3.33402263e-02 2.68278517e-02
-1.80000000e+03 -1.12013858e-03 2.68278517e-02
-1.70000000e+03 -1.63198911e-02 2.68278517e-02
-1.60000000e+03 2.01474090e-02 2.68278517e-02
-1.50000000e+03 -2.91389456e-02 2.68278517e-02
-1.40000000e+03 8.29490889e-03 2.68278517e-02
-1.30000000e+03 -1.06030530e-02 2.68278517e-02
-1.20000000e+03 4.41067599e-03 2.68278517e-02
-1.10000000e+03 2.85453712e-02 2.68278517e-02
-1.00000000e+03 -1.30670376e-03 2.68278517e-02
-9.00000000e+02 2.08591377e-02 2.68278517e-02
-8.00000000e+02 -1.94682539e-02 2.68278517e-02
-7.00000000e+02 3.99843907e-03 2.68278517e-02
-6.00000000e+02 -2.64302813e-02 2.68278517e-02
-5.00000000e+02 2.38808208e-03 2.68278517e-02
-4.50000000e+02 2.72917558e-02 2.68278517e-02
-4.00000000e+02 4.64676125e-02 2.68278517e-02
-3.50000000e+02 1.72178724e-02 2.68278517e-02
-3.00000000e+02 -1.40092039e-02 2.68278517e-02
-2.50000000e+02 -4.97805743e-02 2.68278517e-02
-2.00000000e+02 -4.64969605e-02 2.68278517e-02
-1.50000000e+02 -4.57456990e-02 2.68278517e-02
-1.00000000e+02 -9.00409103e-02 2.68278517e-02
-5.00000000e+01 6.51491759e-02 2.68278517e-02
0.00000000e+00 1.74718916e-01 2.68278517e-02
5.00000000e+01 2.20241970e-01 2.68278517e-02
1.00000000e+02 1.14937078e-01 2.68278517e-02
1.50000000e+02 1.45775261e-01 2.68278517e-02
2.00000000e+02 1.18939819e-01 2.68278517e-02
2.50000000e+02 4.42338090e-02 2.68278517e-02
3.00000000e+02 1.00394398e-01 2.68278517e-02
3.50000000e+02 7.55819265e-02 2.68278517e-02
4.00000000e+02 6.69495200e-02 2.68278517e-02
4.50000000e+02 2.01276655e-02 2.68278517e-02
5.00000000e+02 6.22967651e-02 2.68278517e-02
5.50000000e+02 4.12710842e-03 2.68278517e-02
6.00000000e+02 8.58722926e-02 2.68278517e-02
6.50000000e+02 -2.27918262e-02 2.68278517e-02
7.00000000e+02 -1.27539232e-03 2.68278517e-02
7.50000000e+02 -1.30935666e-02 2.68278517e-02
8.00000000e+02 -3.56794300e-02 2.68278517e-02
8.50000000e+02 -1.77660595e-02 2.68278517e-02
9.00000000e+02 -3.28846179e-02 2.68278517e-02
9.50000000e+02 -7.75625168e-02 2.68278517e-02
1.00000000e+03 -3.77821848e-02 2.68278517e-02
1.05000000e+03 -1.29538577e-02 2.68278517e-02
1.10000000e+03 -2.87113194e-03 2.68278517e-02
1.15000000e+03 -8.61557019e-02 2.68278517e-02
1.20000000e+03 -2.52506948e-02 2.68278517e-02
1.25000000e+03 -5.18164370e-02 2.68278517e-02
1.30000000e+03 -4.56292146e-02 2.68278517e-02
1.35000000e+03 -5.40001077e-02 2.68278517e-02
1.40000000e+03 -4.36759552e-02 2.68278517e-02
1.45000000e+03 -5.95830520e-02 2.68278517e-02
1.50000000e+03 -5.61357022e-03 2.68278517e-02
1.75000000e+03 -1.83715101e-02 2.68278517e-02
2.00000000e+03 -3.92793561e-02 2.68278517e-02
2.25000000e+03 -7.70873194e-02 2.68278517e-02
2.50000000e+03 -6.82387945e-02 2.68278517e-02
2.75000000e+03 -3.05332172e-02 2.68278517e-02
3.00000000e+03 -7.09355163e-02 2.68278517e-02
3.25000000e+03 -6.37330502e-02 2.68278517e-02
3.50000000e+03 -1.44123650e-02 2.68278517e-02
3.75000000e+03 -2.74044762e-02 2.68278517e-02
4.00000000e+03 -7.66660017e-02 2.68278517e-02
4.25000000e+03 -7.26658706e-03 2.68278517e-02
4.50000000e+03 -5.79128871e-02 2.68278517e-02
4.75000000e+03 -7.48233697e-02 2.68278517e-02
5.00000000e+03 -1.74396594e-02 2.68278517e-02
7.50000000e+03 -6.53817908e-02 2.68278517e-02
1.00000000e+04 -4.07319423e-02 2.68278517e-02
1.25000000e+04 -5.48168400e-02 2.68278517e-02
1.50000000e+04 7.39757615e-03 2.68278517e-02
1.75000000e+04 -1.20438720e-01 2.68278517e-02
2.00000000e+04 -4.85442277e-02 2.68278517e-02
2.25000000e+04 -9.56776213e-03 2.68278517e-02
2.50000000e+04 -4.93555798e-02 2.68278517e-02
2.75000000e+04 -2.52181459e-02 2.68278517e-02
3.00000000e+04 -2.35647100e-02 2.68278517e-02
3.25000000e+04 2.88288140e-02 2.68278517e-02
3.50000000e+04 -4.24810084e-02 2.68278517e-02
3.75000000e+04 -2.11588415e-02 2.68278517e-02
4.00000000e+04 -2.54534221e-03 2.68278517e-02
4.25000000e+04 2.05111889e-03 2.68278517e-02
4.50000000e+04 -1.80554949e-02 2.68278517e-02
4.75000000e+04 5.77712245e-03 2.68278517e-02
