# time_delay	fit_example_basic_1	fit_example_basic_2	fit_example_basic_3	fit_example_basic_4
1.15000000e+03 9.16991322e-01 6.79873651e-01 4.97220506e-01 3.48625834e-01
1.20000000e+03 9.13194218e-01 6.77058411e-01 4.95161601e-01 3.47182234e-01
1.25000000e+03 9.09412838e-01 6.74254829e-01 4.93111222e-01 3.45744612e-01
1.30000000e+03 9.05647116e-01 6.71462855e-01 4.91069333e-01 3.44312943e-01
1.35000000e+03 9.01896986e-01 6.68682443e-01 4.89035899e-01 3.42887202e-01
1.40000000e+03 8.98162386e-01 6.65913544e-01 4.87010885e-01 3.41467365e-01
1.45000000e+03 8.94443250e-01 6.63156110e-01 4.84994257e-01 3.40053408e-01
1.50000000e+03 8.90739514e-01 6.60410094e-01 4.82985979e-01 3.38645305e-01
1.75000000e+03 8.72449616e-01 6.46849640e-01 4.73068642e-01 3.31691770e-01
2.00000000e+03 8.54535272e-01 6.33567627e-01 4.63354941e-01 3.24881016e-01
2.25000000e+03 8.36988771e-01 6.20558339e-01 4.53840696e-01 3.18210109e-01
2.50000000e+03 8.19802558e-01 6.07816175e-01 4.44521810e-01 3.11676178e-01
2.75000000e+03 8.02969236e-01 5.95335652e-01 4.35394272e-01 3.05276411e-01
3.00000000e+03 7.86481559e-01 5.83111395e-01 4.26454154e-01 2.99008053e-01
3.25000000e+03 7.70332431e-01 5.71138145e-01 4.17697607e-01 2.92868405e-01
3.50000000e+03 7.54514898e-01 5.59410745e-01 4.09120861e-01 2.86854825e-01
3.75000000e+03 7.39022153e-01 5.47924149e-01 4.00720225e-01 2.80964725e-01
4.00000000e+03 7.23847527e-01 5.36673411e-01 3.92492082e-01 2.75195568e-01
4.25000000e+03 7.08984487e-01 5.25653689e-01 3.84432891e-01 2.69544871e-01
4.50000000e+03 6.94426635e-01 5.14860240e-01 3.76539182e-01 2.64010203e-01
4.75000000e+03 6.80167705e-01 5.04288416e-01 3.68807558e-01 2.58589179e-01
5.00000000e+03 6.66201560e-01 4.93933668e-01 3.61234691e-01 2.53279468e-01
7.50000000e+03 5.41379768e-01 4.01388574e-01 2.93552529e-01 2.05824165e-01
1.00000000e+04 4.39945012e-01 3.26183045e-01 2.38551528e-01 1.67260249e-01
1.25000000e+04 3.57515417e-01 2.65068279e-01 1.93855702e-01 1.35921799e-01
1.50000000e+04 2.90530112e-01 2.15404184e-01 1.57534238e-01 1.10455028e-01
1.75000000e+04 2.36095401e-01 1.75045323e-01 1.28018087e-01 8.97597982e-02
2.00000000e+04 1.91859763e-01 1.42248236e-01 1.04032182e-01 7.29420969e-02
2.25000000e+04 1.55912265e-01 1.15596122e-01 8.45403585e-02 5.92754173e-02
2.50000000e+04 1.26700012e-01 9.39376390e-02 6.87005891e-02 4.81693734e-02
2.75000000e+04 1.02961067e-01 7.63371632e-02 5.58286129e-02 3.91441956e-02
3.00000000e+04 8.36699307e-02 6.20343725e-02 4.53683740e-02 3.18100059e-02
3.25000000e+04 6.79932476e-02 5.04114013e-02 3.68680010e-02 2.58499749e-02
3.50000000e+04 5.52538013e-02 4.09661496e-02 2.99602868e-02 2.10066356e-02
3.75000000e+04 4.49012610e-02 3.32905923e-02 2.43468255e-02 1.70707609e-02
4.00000000e+04 3.64884079e-02 2.70531536e-02 1.97851214e-02 1.38723250e-02
4.25000000e+04 2.96518156e-02 2.19843827e-02 1.60781137e-02 1.12731590e-02
4.50000000e+04 2.40961505e-02 1.78653139e-02 1.30656636e-02 9.16098153e-03
4.75000000e+04 1.95814137e-02 1.45180079e-02 1.06176364e-02 7.44454885e-03
