# time_delay	fit_example_basic_1	fit_example_basic_2	fit_example_basic_3	fit_example_basic_4
-2.50000000e+03 7.65811481e-246 1.71983210e-300 8.27357775e-303 4.36917535e-240
-2.40000000e+03 3.11847759e-226 9.34001473e-279 5.41229280e-281 9.88795639e-221
-2.30000000e+03 1.91400035e-207 7.64253786e-258 5.33448987e-260 3.37297963e-202
-2.20000000e+03 1.77089349e-189 9.42342407e-238 7.92282670e-240 1.73458839e-184
-2.10000000e+03 2.47045344e-172 1.75113746e-218 1.77337927e-220 1.34505814e-167
-2.00000000e+03 5.19744476e-156 4.90500269e-200 5.98306360e-202 1.57306662e-151
-1.90000000e+03 1.64946178e-140 2.07129641e-182 3.04313780e-184 2.77542883e-136
-1.80000000e+03 7.89882203e-126 1.31891519e-165 2.33389904e-167 7.38966999e-122
-1.70000000e+03 5.70954199e-112 1.26667195e-149 2.69963202e-151 2.97023787e-108
-1.60000000e+03 6.23215897e-99 1.83527624e-134 4.71090908e-136 1.80309365e-95
-1.50000000e+03 1.02775422e-86 4.01297141e-120 1.24055978e-121 1.65399578e-83
-1.40000000e+03 2.56220906e-75 1.32470794e-106 4.93177116e-108 2.29412710e-72
-1.30000000e+03 9.66351861e-65 6.60475760e-94 2.96108049e-95 4.81515905e-62
-1.20000000e+03 5.51889080e-55 4.97632901e-82 2.68650732e-83 1.53089063e-52
-1.10000000e+03 4.77828808e-46 5.66970726e-71 3.68548462e-72 7.38188901e-44
-1.00000000e+03 6.28138094e-38 9.77603083e-61 7.65091693e-62 5.40750933e-36
-9.00000000e+02 1.25624178e-30 2.55361756e-51 2.40588883e-52 6.03103323e-29
-8.00000000e+02 3.83281369e-24 1.01182357e-42 1.14744288e-43 1.02723840e-22
-7.00000000e+02 1.79089548e-18 6.09182011e-35 8.31376613e-36 2.68363168e-17
-6.00000000e+02 1.28886557e-13 5.58562799e-28 9.17140146e-29 1.08235165e-12
-5.00000000e+02 1.44137248e-09 7.82433666e-22 1.54513979e-22 6.80886398e-09
-4.50000000e+02 7.61534959e-08 4.58390510e-19 9.92554885e-20 2.70401299e-07
-4.00000000e+02 2.54195340e-06 1.68204244e-16 3.99287064e-17 6.79908846e-06
-3.50000000e+02 5.38061754e-05 3.86948964e-14 1.00680423e-14 1.08743306e-04
-3.00000000e+02 7.26060229e-04 5.58716708e-12 1.59300382e-12 1.11363502e-03
-2.50000000e+02 6.29390788e-03 5.07104963e-10 1.58385762e-10 7.37473295e-03
-2.00000000e+02 3.54555345e-02 2.89878376e-08 9.91385006e-09 3.20603909e-02
-1.50000000e+02 1.32139518e-01 1.04633163e-06 3.91611695e-07 9.36998805e-02
-1.00000000e+02 3.35187135e-01 2.39327682e-05 9.79481764e-06 1.91199856e-01
-5.00000000e+01 6.05273220e-01 3.48610482e-04 1.55838479e-04 2.88800523e-01
0.00000000e+00 8.32385874e-01 3.25708512e-03 1.58774959e-03 3.50337278e-01
5.00000000e+01 9.52120091e-01 1.97296651e-02 1.04619687e-02 3.74247206e-01
1.00000000e+02 9.90067477e-01 7.87781675e-02 4.52646157e-02 3.79193457e-01
1.50000000e+02 9.94990500e-01 2.12846196e-01 1.31705170e-01 3.78676455e-01
2.00000000e+02 9.92099972e-01 4.05662885e-01 2.67709580e-01 3.77216367e-01
2.50000000e+02 9.88097731e-01 5.81067794e-01 4.03128833e-01 3.75661364e-01
3.00000000e+02 9.84011941e-01 6.81348751e-01 4.88045996e-01 3.74106100e-01
3.50000000e+02 9.79937513e-01 7.16278558e-01 5.20843596e-01 3.72556998e-01
4.00000000e+02 9.75879765e-01 7.22104377e-01 5.27558071e-01 3.71014304e-01
4.50000000e+02 9.71838814e-01 7.20409944e-01 5.26804161e-01 3.69477997e-01
5.00000000e+02 9.67814597e-01 7.17547534e-01 5.24768606e-01 3.67948052e-01
5.50000000e+02 9.63807043e-01 7.14583387e-01 5.22605017e-01 3.66424443e-01
6.00000000e+02 9.59816083e-01 7.11624683e-01 5.20441380e-01 3.64907142e-01
6.50000000e+02 9.55841650e-01 7.08677974e-01 5.18286331e-01 3.63396124e-01
7.00000000e+02 9.51883674e-01 7.05743460e-01 5.16140197e-01 3.61891363e-01
7.50000000e+02 9.47942087e-01 7.02821098e-01 5.14002949e-01 3.60392833e-01
8.00000000e+02 9.44016821e-01 6.99910836e-01 5.11874551e-01 3.58900508e-01
8.50000000e+02 9.40107810e-01 6.97012626e-01 5.09754966e-01 3.57414363e-01
9.00000000e+02 9.36214985e-01 6.94126416e-01 5.07644159e-01 3.55934371e-01
9.50000000e+02 9.32338279e-01 6.91252158e-01 5.05542091e-01 3.54460508e-01
1.00000000e+03 9.28477627e-01 6.88389801e-01 5.03448728e-01 3.52992748e-01
1.05000000e+03 9.24632960e-01 6.85539298e-01 5.01364034e-01 3.51531066e-01
1.10000000e+03 9.20804214e-01 6.82700597e-01 4.99287971e-01 3.50075436e-01
