# time_delay	fit_example_1	fit_example_2	fit_example_3	fit_example_4
1.00000000e+02 9.26057379e-01 8.41850580e-01 -3.32427355e-02 1.45232850e-02
2.00000000e+02 7.18908704e-01 6.55698872e-01 1.26525158e-02 -1.96470781e-02
3.00000000e+02 5.82190893e-01 5.32734237e-01 4.10708950e-02 -4.06882719e-02
4.00000000e+02 4.90771917e-01 4.50411093e-01 5.82852222e-02 -5.33204959e-02
5.00000000e+02 4.28523338e-01 3.94262571e-01 6.83441874e-02 -6.05855842e-02
6.00000000e+02 3.85096448e-01 3.55006000e-01 7.38437614e-02 -6.44338265e-02
7.00000000e+02 3.53849913e-01 3.26684075e-01 7.64481340e-02 -6.61153945e-02
8.00000000e+02 3.30520505e-01 3.05472567e-01 7.72238560e-02 -6.64314108e-02
9.00000000e+02 3.12370471e-01 2.88915545e-01 7.68541659e-02 -6.58949906e-02
1.00000000e+03 2.97640639e-01 2.75434833e-01 7.57764628e-02 -6.48345367e-02
1.10000000e+03 2.85199616e-01 2.64015353e-01 7.42704843e-02 -6.34599954e-02
1.20000000e+03 2.74318774e-01 2.54003305e-01 7.25148654e-02 -6.19053532e-02
1.30000000e+03 2.64527921e-01 2.44976696e-01 7.06234159e-02 -6.02558952e-02
1.40000000e+03 2.55522719e-01 2.36662311e-01 6.86683886e-02 -5.85656882e-02
