# time_delay 	 res_example_2 	 eps
-2.00000000e+00 -3.91511717e-01 9.22790856e-02
-1.90000000e+00 -4.79185366e-01 9.22790856e-02
-1.80000000e+00 -6.07326378e-01 9.22790856e-02
-1.70000000e+00 -2.49384287e-01 9.22790856e-02
-1.60000000e+00 -4.62797735e-01 9.22790856e-02
-1.50000000e+00 -5.75490028e-01 9.22790856e-02
-1.40000000e+00 -3.46726173e-01 9.22790856e-02
-1.30000000e+00 -4.52186818e-01 9.22790856e-02
-1.20000000e+00 -4.03732822e-01 9.22790856e-02
-1.10000000e+00 -3.15932240e-01 9.22790856e-02
-1.00000000e+00 -5.21645835e-01 9.22790856e-02
-9.50000000e-01 -5.71711422e-01 9.22790856e-02
-9.00000000e-01 -4.49392609e-01 9.22790856e-02
-8.50000000e-01 -5.03392129e-01 9.22790856e-02
-8.00000000e-01 -4.42433500e-01 9.22790856e-02
-7.50000000e-01 -4.41471962e-01 9.22790856e-02
-7.00000000e-01 -3.52429324e-01 9.22790856e-02
-6.50000000e-01 -4.65530874e-01 9.22790856e-02
-6.00000000e-01 -4.79132098e-01 9.22790856e-02
-5.50000000e-01 -3.03227044e-01 9.22790856e-02
-5.00000000e-01 -2.44617970e-01 9.22790856e-02
-4.50000000e-01 -5.81645736e-01 9.22790856e-02
-4.00000000e-01 -5.60817930e-01 9.22790856e-02
-3.50000000e-01 -3.66526282e-01 9.22790856e-02
-3.00000000e-01 -4.90731927e-01 9.22790856e-02
-2.50000000e-01 -3.70319091e-01 9.22790856e-02
-2.00000000e-01 -2.54557500e-01 9.22790856e-02
-1.50000000e-01 -6.93837903e-02 9.22790856e-02
-1.00000000e-01 -1.97073377e-01 9.22790856e-02
-5.00000000e-02 3.32378203e-01 9.22790856e-02
8.88178420e-16 2.42078932e-01 9.22790856e-02
5.00000000e-02 2.23161527e-01 9.22790856e-02
1.00000000e-01 3.31815639e-01 9.22790856e-02
1.50000000e-01 3.29691783e-01 9.22790856e-02
2.00000000e-01 3.91462128e-01 9.22790856e-02
2.50000000e-01 2.78721028e-01 9.22790856e-02
3.00000000e-01 5.35738963e-01 9.22790856e-02
3.50000000e-01 3.70214979e-01 9.22790856e-02
4.00000000e-01 5.38312457e-01 9.22790856e-02
4.50000000e-01 4.51525588e-01 9.22790856e-02
5.00000000e-01 5.15571296e-01 9.22790856e-02
5.50000000e-01 3.35831477e-01 9.22790856e-02
6.00000000e-01 3.19754591e-01 9.22790856e-02
6.50000000e-01 5.16626078e-01 9.22790856e-02
7.00000000e-01 5.19500912e-01 9.22790856e-02
7.50000000e-01 3.93530248e-01 9.22790856e-02
8.00000000e-01 3.75936213e-01 9.22790856e-02
8.50000000e-01 4.27775609e-01 9.22790856e-02
9.00000000e-01 4.81076911e-01 9.22790856e-02
9.50000000e-01 5.84680644e-01 9.22790856e-02
1.00000000e+00 4.01351396e-01 9.22790856e-02
2.00000000e+00 5.00139923e-01 9.22790856e-02
3.00000000e+00 3.09089163e-01 9.22790856e-02
4.00000000e+00 4.13655902e-01 9.22790856e-02
5.00000000e+00 3.90994882e-01 9.22790856e-02
6.00000000e+00 5.32644421e-01 9.22790856e-02
7.00000000e+00 4.02153789e-01 9.22790856e-02
8.00000000e+00 1.85976499e-01 9.22790856e-02
9.00000000e+00 3.10565237e-01 9.22790856e-02
1.00000000e+01 7.17557534e-02 9.22790856e-02
2.00000000e+01 -1.65169016e-01 9.22790856e-02
3.00000000e+01 -7.69000487e-02 9.22790856e-02
4.00000000e+01 -2.81692893e-01 9.22790856e-02
5.00000000e+01 -7.76998760e-02 9.22790856e-02
6.00000000e+01 -2.13033959e-01 9.22790856e-02
7.00000000e+01 -2.92807325e-02 9.22790856e-02
8.00000000e+01 -6.46576807e-03 9.22790856e-02
9.00000000e+01 -7.60168852e-03 9.22790856e-02
1.00000000e+02 3.97144359e-02 9.22790856e-02
2.00000000e+02 5.89286464e-02 9.22790856e-02
3.00000000e+02 6.37890025e-02 9.22790856e-02
4.00000000e+02 7.36487691e-02 9.22790856e-02
5.00000000e+02 9.49692533e-02 9.22790856e-02
6.00000000e+02 4.02609950e-02 9.22790856e-02
7.00000000e+02 2.45986728e-02 9.22790856e-02
8.00000000e+02 -4.61221875e-02 9.22790856e-02
9.00000000e+02 1.74566604e-01 9.22790856e-02
1.00000000e+03 1.54207045e-02 9.22790856e-02
1.10000000e+03 -1.24076498e-01 9.22790856e-02
1.20000000e+03 8.21665015e-02 9.22790856e-02
1.30000000e+03 -1.32773318e-01 9.22790856e-02
1.40000000e+03 -2.74265592e-01 9.22790856e-02
