# energy	fit	g_type_edge
9.00452830e+03 2.18942727e-01 2.18942727e-01
9.00490566e+03 2.18944497e-01 2.18944497e-01
9.00528302e+03 2.18945566e-01 2.18945566e-01
9.00566038e+03 2.18946204e-01 2.18946204e-01
9.00603774e+03 2.18946578e-01 2.18946578e-01
9.00641509e+03 2.18946795e-01 2.18946795e-01
9.00679245e+03 2.18946919e-01 2.18946919e-01
9.00716981e+03 2.18946988e-01 2.18946988e-01
9.00754717e+03 2.18947027e-01 2.18947027e-01
9.00792453e+03 2.18947048e-01 2.18947048e-01
9.00830189e+03 2.18947060e-01 2.18947060e-01
9.00867925e+03 2.18947066e-01 2.18947066e-01
9.00905660e+03 2.18947069e-01 2.18947069e-01
9.00943396e+03 2.18947071e-01 2.18947071e-01
9.00981132e+03 2.18947071e-01 2.18947071e-01
9.01018868e+03 2.18947072e-01 2.18947072e-01
9.01056604e+03 2.18947072e-01 2.18947072e-01
9.01094340e+03 2.18947072e-01 2.18947072e-01
9.01132075e+03 2.18947072e-01 2.18947072e-01
9.01169811e+03 2.18947072e-01 2.18947072e-01
9.01207547e+03 2.18947072e-01 2.18947072e-01
9.01245283e+03 2.18947072e-01 2.18947072e-01
9.01283019e+03 2.18947072e-01 2.18947072e-01
9.01320755e+03 2.18947072e-01 2.18947072e-01
9.01358491e+03 2.18947072e-01 2.18947072e-01
9.01396226e+03 2.18947072e-01 2.18947072e-01
9.01433962e+03 2.18947072e-01 2.18947072e-01
9.01471698e+03 2.18947072e-01 2.18947072e-01
9.01509434e+03 2.18947072e-01 2.18947072e-01
9.01547170e+03 2.18947072e-01 2.18947072e-01
9.01584906e+03 2.18947072e-01 2.18947072e-01
9.01622642e+03 2.18947072e-01 2.18947072e-01
9.01660377e+03 2.18947072e-01 2.18947072e-01
9.01698113e+03 2.18947072e-01 2.18947072e-01
9.01735849e+03 2.18947072e-01 2.18947072e-01
9.01773585e+03 2.18947072e-01 2.18947072e-01
9.01811321e+03 2.18947072e-01 2.18947072e-01
9.01849057e+03 2.18947072e-01 2.18947072e-01
9.01886792e+03 2.18947072e-01 2.18947072e-01
9.01924528e+03 2.18947072e-01 2.18947072e-01
9.01962264e+03 2.18947072e-01 2.18947072e-01
9.02000000e+03 2.18947072e-01 2.18947072e-01
