# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
2.40000000e-01 9.86984853e-01 5.76030400e-01 -1.69397931e-04 4.94136102e-01
2.60000000e-01 9.81093959e-01 5.84581527e-01 2.78879956e-02 4.84865055e-01
2.80000000e-01 9.78773731e-01 5.92668609e-01 5.48584170e-02 4.76076361e-01
3.00000000e-01 9.80241976e-01 6.00347964e-01 8.07353652e-02 4.67797681e-01
3.20000000e-01 9.85062785e-01 6.07637482e-01 1.05522808e-01 4.60008187e-01
3.40000000e-01 9.92252029e-01 6.14554076e-01 1.29240916e-01 4.52643254e-01
3.60000000e-01 1.00047088e+00 6.21119691e-01 1.51928493e-01 4.45606101e-01
3.80000000e-01 1.00827023e+00 6.27360477e-01 1.73641870e-01 4.38784362e-01
4.00000000e-01 1.01434212e+00 6.33304398e-01 1.94450619e-01 4.32068553e-01
4.20000000e-01 1.01773503e+00 6.38978470e-01 2.14430982e-01 4.25369227e-01
4.40000000e-01 1.01799830e+00 6.44406209e-01 2.33658263e-01 4.18629932e-01
4.60000000e-01 1.01523458e+00 6.49605708e-01 2.52199505e-01 4.11834010e-01
4.80000000e-01 1.01005573e+00 6.54588664e-01 2.70107725e-01 4.05004350e-01
5.00000000e-01 1.00345438e+00 6.59360456e-01 2.87418594e-01 3.98196477e-01
5.20000000e-01 9.96617045e-01 6.63921227e-01 3.04150028e-01 3.91486488e-01
5.40000000e-01 9.90713284e-01 6.68267739e-01 3.20304623e-01 3.84956108e-01
5.60000000e-01 9.86697885e-01 6.72395642e-01 3.35874393e-01 3.78677551e-01
5.80000000e-01 9.85159064e-01 6.76301768e-01 3.50846903e-01 3.72700769e-01
6.00000000e-01 9.86236216e-01 6.79986049e-01 3.65211693e-01 3.67045124e-01
6.20000000e-01 9.89617848e-01 6.83452767e-01 3.78965896e-01 3.61696705e-01
6.40000000e-01 9.94616180e-01 6.86710940e-01 3.92118139e-01 3.56611442e-01
6.60000000e-01 1.00030206e+00 6.89773843e-01 4.04690160e-01 3.51723243e-01
6.80000000e-01 1.00567439e+00 6.92657770e-01 4.16715975e-01 3.46955494e-01
7.00000000e-01 1.00983355e+00 6.95380305e-01 4.28238860e-01 3.42233837e-01
7.20000000e-01 1.01212936e+00 6.97958400e-01 4.39306777e-01 3.37497968e-01
7.40000000e-01 1.01225939e+00 7.00406613e-01 4.49967096e-01 3.32710515e-01
7.60000000e-01 1.01030367e+00 7.02735798e-01 4.60261552e-01 3.27861621e-01
7.80000000e-01 1.00669263e+00 7.04952439e-01 4.70222281e-01 3.22968653e-01
8.00000000e-01 1.00211711e+00 7.07058724e-01 4.79869568e-01 3.18071339e-01
8.20000000e-01 9.97398559e-01 7.09053304e-01 4.89211605e-01 3.13223350e-01
8.40000000e-01 9.93343209e-01 7.10932583e-01 4.98246214e-01 3.08481958e-01
8.60000000e-01 9.90605886e-01 7.12692288e-01 5.06964145e-01 3.03897592e-01
8.80000000e-01 9.89586105e-01 7.14329047e-01 5.15353322e-01 2.99505083e-01
9.00000000e-01 9.90372508e-01 7.15841708e-01 5.23403273e-01 2.95318002e-01
9.20000000e-01 9.92742776e-01 7.17232181e-01 5.31108986e-01 2.91326899e-01
9.40000000e-01 9.96216354e-01 7.18505697e-01 5.38473566e-01 2.87501554e-01
9.60000000e-01 1.00014849e+00 7.19670452e-01 5.45509303e-01 2.83796666e-01
9.80000000e-01 1.00384764e+00 7.20736748e-01 5.52237057e-01 2.80159849e-01
1.00000000e+00 1.00669514e+00 7.21715784e-01 5.58684133e-01 2.76540457e-01
1.20000000e+00 9.93212156e-01 7.27970600e-01 6.12420915e-01 2.39948824e-01
1.40000000e+00 1.00061911e+00 7.28422443e-01 6.49137433e-01 2.09081685e-01
1.60000000e+00 1.00294612e+00 7.25360751e-01 6.75267106e-01 1.80570187e-01
1.80000000e+00 9.96456995e-01 7.19940952e-01 6.93787377e-01 1.53658497e-01
2.00000000e+00 9.99885312e-01 7.12887142e-01 7.07078933e-01 1.29054515e-01
2.20000000e+00 1.00104041e+00 7.04947946e-01 7.17245204e-01 1.05373077e-01
2.40000000e+00 9.97895986e-01 6.96446844e-01 7.25062687e-01 8.23751074e-02
2.60000000e+00 9.99457598e-01 6.87572796e-01 7.31227158e-01 6.04977145e-02
2.80000000e+00 1.00000650e+00 6.78578653e-01 7.36454057e-01 3.91458118e-02
3.00000000e+00 9.98459981e-01 6.69549711e-01 7.40922374e-01 1.82356405e-02
3.20000000e+00 9.99145112e-01 6.60527682e-01 7.44831652e-01 -1.99612103e-03
3.40000000e+00 9.99381027e-01 6.51600667e-01 7.48437694e-01 -2.18153600e-02
3.60000000e+00 9.98596049e-01 6.42787686e-01 7.51769435e-01 -4.12571877e-02
3.80000000e+00 9.98868329e-01 6.34092793e-01 7.54882327e-01 -6.02023524e-02
4.00000000e+00 9.98942027e-01 6.25547073e-01 7.57873347e-01 -7.87743605e-02
4.20000000e+00 9.98518218e-01 6.17152066e-01 7.60740013e-01 -9.69917715e-02
4.40000000e+00 9.98594529e-01 6.08903761e-01 7.63497025e-01 -1.14798024e-01
