# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
2.40000000e-01 1.00047829e+00 5.76019101e-01 1.63857913e-04 4.94869707e-01
2.60000000e-01 1.00045199e+00 5.84468278e-01 2.79218662e-02 4.86120291e-01
2.80000000e-01 1.00042656e+00 5.92477560e-01 5.46015642e-02 4.77614944e-01
3.00000000e-01 1.00040197e+00 6.00115307e-01 8.02454055e-02 4.69344683e-01
3.20000000e-01 1.00037818e+00 6.07404731e-01 1.04894171e-01 4.61300486e-01
3.40000000e-01 1.00035516e+00 6.14360762e-01 1.28587035e-01 4.53473650e-01
3.60000000e-01 1.00033289e+00 6.20996744e-01 1.51361628e-01 4.45855812e-01
3.80000000e-01 1.00031132e+00 6.27325389e-01 1.73254098e-01 4.38438937e-01
4.00000000e-01 1.00029044e+00 6.33358897e-01 1.94299170e-01 4.31215309e-01
4.20000000e-01 1.00027020e+00 6.39108989e-01 2.14530199e-01 4.24177511e-01
4.40000000e-01 1.00025060e+00 6.44586922e-01 2.33979227e-01 4.17318422e-01
4.60000000e-01 1.00023159e+00 6.49803509e-01 2.52677033e-01 4.10631198e-01
4.80000000e-01 1.00021315e+00 6.54769140e-01 2.70653184e-01 4.04109268e-01
5.00000000e-01 1.00019527e+00 6.59493791e-01 2.87936083e-01 3.97746314e-01
5.20000000e-01 1.00017791e+00 6.63987048e-01 3.04553011e-01 3.91536273e-01
5.40000000e-01 1.00016107e+00 6.68258118e-01 3.20530177e-01 3.85473315e-01
5.60000000e-01 1.00014470e+00 6.72315845e-01 3.35892756e-01 3.79551843e-01
5.80000000e-01 1.00012880e+00 6.76168725e-01 3.50664933e-01 3.73766478e-01
6.00000000e-01 1.00011334e+00 6.79824919e-01 3.64869937e-01 3.68112054e-01
6.20000000e-01 1.00009831e+00 6.83292264e-01 3.78530084e-01 3.62583606e-01
6.40000000e-01 1.00008369e+00 6.86578291e-01 3.91666811e-01 3.57176367e-01
6.60000000e-01 1.00006946e+00 6.89690234e-01 4.04300710e-01 3.51885755e-01
6.80000000e-01 1.00005561e+00 6.92635039e-01 4.16451561e-01 3.46707369e-01
7.00000000e-01 1.00004211e+00 6.95419382e-01 4.28138365e-01 3.41636983e-01
7.20000000e-01 1.00002895e+00 6.98049672e-01 4.39379376e-01 3.36670534e-01
7.40000000e-01 1.00001613e+00 7.00532067e-01 4.50192126e-01 3.31804120e-01
7.60000000e-01 1.00000361e+00 7.02872484e-01 4.60593459e-01 3.27033993e-01
7.80000000e-01 9.99991400e-01 7.05076603e-01 4.70599554e-01 3.22356550e-01
8.00000000e-01 9.99979475e-01 7.07149883e-01 4.80225954e-01 3.17768334e-01
8.20000000e-01 9.99967826e-01 7.09097567e-01 4.89487586e-01 3.13266019e-01
8.40000000e-01 9.99956439e-01 7.10924691e-01 4.98398794e-01 3.08846412e-01
8.60000000e-01 9.99945303e-01 7.12636091e-01 5.06973353e-01 3.04506446e-01
8.80000000e-01 9.99934408e-01 7.14236415e-01 5.15224497e-01 3.00243173e-01
9.00000000e-01 9.99923743e-01 7.15730126e-01 5.23164938e-01 2.96053761e-01
9.20000000e-01 9.99913297e-01 7.17121511e-01 5.30806889e-01 2.91935490e-01
9.40000000e-01 9.99903061e-01 7.18414689e-01 5.38162079e-01 2.87885747e-01
9.60000000e-01 9.99893026e-01 7.19613615e-01 5.45241776e-01 2.83902020e-01
9.80000000e-01 9.99883181e-01 7.20722089e-01 5.52056806e-01 2.79981897e-01
1.00000000e+00 9.99873519e-01 7.21743761e-01 5.58617567e-01 2.76123060e-01
1.20000000e+00 9.99785250e-01 7.27893339e-01 6.12254736e-01 2.40456153e-01
1.40000000e+00 9.99707848e-01 7.28465027e-01 6.49306406e-01 2.08944733e-01
1.60000000e+00 9.99636772e-01 7.25375036e-01 6.75238074e-01 1.80366208e-01
1.80000000e+00 9.99568999e-01 7.19903922e-01 6.93706634e-01 1.53899634e-01
2.00000000e+00 9.99502528e-01 7.12907017e-01 7.07159012e-01 1.28992833e-01
2.20000000e+00 9.99436037e-01 7.04955205e-01 7.17232659e-01 1.05273490e-01
2.40000000e+00 9.99368662e-01 6.96429104e-01 7.25023484e-01 8.24896723e-02
2.60000000e+00 9.99299840e-01 6.87582064e-01 7.31265091e-01 6.04700428e-02
2.80000000e+00 9.99229212e-01 6.78582327e-01 7.36448697e-01 3.90972359e-02
3.00000000e+00 9.99156556e-01 6.69541215e-01 7.40903353e-01 1.82900477e-02
3.20000000e+00 9.99081738e-01 6.60532000e-01 7.44849613e-01 -2.00847993e-03
3.40000000e+00 9.99004687e-01 6.51602519e-01 7.48435436e-01 -2.18390331e-02
3.60000000e+00 9.98925369e-01 6.42783619e-01 7.51760213e-01 -4.12313607e-02
3.80000000e+00 9.98843778e-01 6.34094802e-01 7.54890827e-01 -6.02078442e-02
4.00000000e+00 9.98759926e-01 6.25548004e-01 7.57872414e-01 -7.87858877e-02
