# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
2.00000000e-01 4.95586227e-03 -1.95422967e-04 -7.51334628e-04 6.68445606e-04
2.20000000e-01 -4.92481564e-03 -9.78865514e-05 -5.88326984e-04 -5.46884734e-05
2.40000000e-01 -1.34934400e-02 1.12987834e-05 -3.33255845e-04 -7.33605120e-04
2.60000000e-01 -1.93580292e-02 1.13249346e-04 -3.38705861e-05 -1.25523626e-03
2.80000000e-01 -2.16528267e-02 1.91048981e-04 2.56852751e-04 -1.53858354e-03
3.00000000e-01 -2.01599906e-02 2.32657013e-04 4.89959655e-04 -1.54700184e-03
3.20000000e-01 -1.53153951e-02 2.32751130e-04 6.28637136e-04 -1.29229818e-03
3.40000000e-01 -8.10313509e-03 1.93314182e-04 6.53880867e-04 -8.30395156e-04
3.60000000e-01 1.37989577e-04 1.22946714e-04 5.66865157e-04 -2.49710211e-04
3.80000000e-01 7.95891074e-03 3.50879010e-05 3.87772025e-04 3.45424169e-04
4.00000000e-01 1.40516860e-02 -5.44996779e-05 1.51448698e-04 8.53244747e-04
4.20000000e-01 1.74648231e-02 -1.30518750e-04 -9.92163096e-05 1.19171558e-03
4.40000000e-01 1.77477040e-02 -1.80712778e-04 -3.20963806e-04 1.31150987e-03
4.60000000e-01 1.50029953e-02 -1.97801005e-04 -4.77528180e-04 1.20281198e-03
4.80000000e-01 9.84257557e-03 -1.80475337e-04 -5.45459429e-04 8.95082082e-04
5.00000000e-01 3.25910799e-03 -1.33334932e-04 -5.17488508e-04 4.50162254e-04
5.20000000e-01 -3.56086980e-03 -6.58207543e-05 -4.02982745e-04 -4.97848220e-05
5.40000000e-01 -9.44778119e-03 9.62083240e-06 -2.25554090e-04 -5.17207288e-04
5.60000000e-01 -1.34468152e-02 7.97964375e-05 -1.83634575e-05 -8.74291910e-04
5.80000000e-01 -1.49697354e-02 1.33042153e-04 1.81970503e-04 -1.06570969e-03
6.00000000e-01 -1.38771275e-02 1.61130717e-04 3.41756571e-04 -1.06692952e-03
6.20000000e-01 -1.04804665e-02 1.60503236e-04 4.35811562e-04 -8.86901337e-04
6.40000000e-01 -5.46751261e-03 1.32648808e-04 4.51327395e-04 -5.64924285e-04
6.60000000e-01 2.32602110e-04 8.36086002e-05 3.89450397e-04 -1.62511651e-04
6.80000000e-01 5.61878309e-03 2.27307659e-05 2.64414796e-04 2.48125024e-04
7.00000000e-01 9.79144671e-03 -3.90763089e-05 1.00495304e-04 5.96854199e-04
7.20000000e-01 1.21004032e-02 -9.12716165e-05 -7.25986941e-05 8.27434142e-04
7.40000000e-01 1.22432667e-02 -1.25453947e-04 -2.25030131e-04 9.06395358e-04
7.60000000e-01 1.03000625e-02 -1.36685587e-04 -3.31907427e-04 8.27628105e-04
7.80000000e-01 6.70122538e-03 -1.24164108e-04 -3.77273556e-04 6.12102734e-04
8.00000000e-01 2.13763172e-03 -9.11595427e-05 -3.56385762e-04 3.03004663e-04
8.20000000e-01 -2.56926657e-03 -4.42629882e-05 -2.75981076e-04 -4.26690461e-05
8.40000000e-01 -6.61323000e-03 7.89260569e-06 -1.52579517e-04 -3.64454074e-04
8.60000000e-01 -9.33941720e-03 5.61968170e-05 -9.20761003e-06 -6.08854010e-04
