# time_delay	fit_example_1	fit_example_2	fit_example_3	fit_example_4
9.00000000e+01 5.27573467e-01 4.91676896e-01 -5.12187353e-02 4.75518329e-02
1.00000000e+02 4.93688354e-01 4.58090325e-01 -6.27371429e-02 5.84288269e-02
2.00000000e+02 2.75287980e-01 2.43987306e-01 -1.19467564e-01 1.12062035e-01
3.00000000e+02 1.76106701e-01 1.49803643e-01 -1.22756038e-01 1.15274906e-01
4.00000000e+02 1.25053386e-01 1.03373949e-01 -1.09315454e-01 1.02691598e-01
5.00000000e+02 9.47252190e-02 7.70109217e-02 -9.23409904e-02 8.67587896e-02
6.00000000e+02 7.43036928e-02 5.98865521e-02 -7.62834861e-02 7.16767383e-02
7.00000000e+02 5.93147722e-02 4.76025093e-02 -6.23960580e-02 5.86297259e-02
8.00000000e+02 4.77510185e-02 3.82442046e-02 -5.08065190e-02 4.77404077e-02
9.00000000e+02 3.85954948e-02 3.08818675e-02 -4.12835332e-02 3.87923690e-02
1.00000000e+03 3.12538258e-02 2.49962934e-02 -3.35131640e-02 3.14909785e-02
1.10000000e+03 2.53307990e-02 2.02549258e-02 -2.71931613e-02 2.55523599e-02
1.20000000e+03 2.05386135e-02 1.64214195e-02 -2.20604177e-02 2.07293328e-02
1.30000000e+03 1.66561826e-02 1.33166635e-02 -1.78947584e-02 1.68150267e-02
1.40000000e+03 1.35088385e-02 1.08001264e-02 -1.45150476e-02 1.36392423e-02
